,Open,High,low,Close,AvgPrice,Turn,Volume,Amount,Tnum
20090330,6.9436,6.9519,6.7609,6.8273,6.8439,1.403,131743883.0,1085716431.81,57708.0
20090331,6.6778,6.8855,6.6612,6.8772,6.7692,1.629,152931924.0,1246727827.95,71922.0
20090401,6.8772,7.1596,6.8356,7.0433,6.9934,3.096,290654601.0,2446009868.87,118163.0
20090402,7.0682,7.334,7.0516,7.1596,7.1928,3.708,348074452.0,3013702313.59,140235.0
20090403,7.2675,7.4336,7.1429,7.2011,7.2841,2.911,273322398.0,2397088380.03,103755.0
20090407,7.2094,7.2925,7.0433,7.1346,7.1513,1.493,140163709.0,1206247908.62,65835.0
20090408,7.1263,7.1845,6.7941,6.8024,6.9436,1.772,166367673.0,1391359548.55,93791.0
20090409,6.7858,6.9685,6.7277,6.9685,6.8273,1.502,141036721.0,1159600731.1,64606.0
20090410,6.9685,6.9685,6.9685,6.9685,,0.0,0.0,0.0,0.0
20090413,7.1429,7.2177,7.0184,7.0599,7.1263,2.747,257892869.0,2211432452.51,94158.0
20090414,7.0599,7.3589,7.0267,7.2758,7.2177,2.743,257561963.0,2238883622.07,114052.0
20090415,7.1845,7.2343,6.9768,7.1346,7.1097,2.188,205435206.0,1759300409.29,91400.0
20090416,7.1429,7.1762,6.9104,7.0267,7.0018,2.742,257461063.0,2171277371.9,118622.0
20090417,7.0184,7.1513,6.9768,7.0018,7.0516,1.93,181179460.0,1538205695.25,79472.0
20090420,6.9851,7.1097,6.9519,7.0931,7.035,2.089,196130985.0,1660378260.21,79319.0
20090421,6.9768,7.0516,6.8606,6.9685,6.9768,1.756,164892153.0,1384671382.03,82028.0
20090422,7.0018,7.1263,6.7609,6.7692,6.9436,2.541,238576565.0,1994519570.32,110643.0
20090423,6.7277,6.8356,6.6778,6.8024,6.7526,1.31,123011455.0,1000533171.45,61024.0
20090424,6.8273,6.8522,6.7027,6.711,6.7526,0.954,89552724.0,728145794.37,51425.0
20090427,6.711,6.7775,6.6114,6.6446,6.6695,1.074,100837440.0,809949756.7,55465.0
20090428,6.6197,6.6612,6.5782,6.628,6.628,0.782,73450478.0,586151355.62,38406.0
20090429,6.628,6.9602,6.6197,6.8938,6.8356,1.51,141754271.0,1167046715.97,70012.0
20090430,7.0599,7.1596,6.9685,7.0433,7.0599,2.488,233574573.0,1985096400.16,90381.0
20090504,7.0599,7.3506,7.0018,7.3091,7.2509,3.352,314698796.0,2747488719.32,144308.0
20090505,7.334,7.7077,7.334,7.5084,7.5665,3.171,297749536.0,2713496903.03,129589.0
20090506,7.525,7.6828,7.4752,7.6081,7.6081,2.056,193047353.0,1768460432.76,86821.0
20090507,7.6413,7.7742,7.3838,7.5748,7.5665,2.04,191555955.0,1745922307.15,83713.0
