代码	公告日期	违规类型	处罚对象	关系	处分类型	处理人	处罚金额(万元)	相关法规	是否发债	证监会行业(2012)	东财行业
600966.SH	2014-06-27	未及时披露公司重大事件,未按时披露定期报告	胡安忠	公司高管	公开批评	上海证券交易所		《上海证券交易所股票上市规则》	是	制造业	造纸
600247.SH	2014-06-27	未按时披露定期报告,未依法履行其他职责	曹峰	公司高管	公开谴责	上海证券交易所		《股票上市规则》	否	批发和零售业	贸易
600966.SH	2014-06-27	未及时披露公司重大事件,未按时披露定期报告	山东博汇纸业股份有限公司	公司本身	公开谴责	上海证券交易所		《上海证券交易所股票上市规则》、《上海证券交易所纪律处分和监管措施实施办法》	是	制造业	造纸
600966.SH	2014-06-27	未及时披露公司重大事件,未按时披露定期报告	孙吉	公司高管	公开批评	上海证券交易所		《上海证券交易所股票上市规则》	是	制造业	造纸
600966.SH	2014-06-27	未及时披露公司重大事件,未按时披露定期报告	张艳	公司高管	公开批评	上海证券交易所		《上海证券交易所股票上市规则》	是	制造业	造纸
600966.SH	2014-06-27	未及时披露公司重大事件,未按时披露定期报告	荆树兵	公司高管	公开谴责	上海证券交易所		《上海证券交易所股票上市规则》、《上海证券交易所纪律处分和监管措施实施办法》	是	制造业	造纸
600247.SH	2014-06-27	未按时披露定期报告,未依法履行其他职责	黄俊岩	公司高管	公开谴责	上海证券交易所		《股票上市规则》	否	批发和零售业	贸易
600247.SH	2014-06-27	未按时披露定期报告,未依法履行其他职责	方一轩	公司高管	公开谴责	上海证券交易所		《股票上市规则》	否	批发和零售业	贸易
600247.SH	2014-06-27	未按时披露定期报告,未依法履行其他职责	王淑霞	公司高管	公开谴责	上海证券交易所		《股票上市规则》	否	批发和零售业	贸易
600247.SH	2014-06-27	未按时披露定期报告,未依法履行其他职责	艾勇	公司高管	公开谴责	上海证券交易所		《股票上市规则》	否	批发和零售业	贸易
600966.SH	2014-06-27	未及时披露公司重大事件,未按时披露定期报告	杨延智	公司高管	公开谴责	上海证券交易所		《上海证券交易所股票上市规则》、《上海证券交易所纪律处分和监管措施实施办法》	是	制造业	造纸
600247.SH	2014-06-27	未按时披露定期报告,未依法履行其他职责	徐才江	公司高管	公开谴责	上海证券交易所		《股票上市规则》	否	批发和零售业	贸易
600966.SH	2014-06-27	未及时披露公司重大事件,未按时披露定期报告	王友贵	公司高管	公开谴责	上海证券交易所		《上海证券交易所股票上市规则》、《上海证券交易所纪律处分和监管措施实施办法》	是	制造业	造纸
600966.SH	2014-06-27	未及时披露公司重大事件,未按时披露定期报告	杨延良	公司高管	公开谴责	上海证券交易所		《上海证券交易所股票上市规则》、《上海证券交易所纪律处分和监管措施实施办法》	是	制造业	造纸
600247.SH	2014-06-27	未按时披露定期报告,未依法履行其他职责	郑江明	公司高管	公开谴责	上海证券交易所		《股票上市规则》	否	批发和零售业	贸易
000912.SZ	2014-06-26	未及时披露公司重大事件	四川泸天化股份有限公司	公司本身	立案调查	中国证券监督管理委员会			是	制造业	氮肥
002371.SZ	2014-06-21	涉嫌违反证券法律法规	北京硅元科电微电子技术有限责任公司	公司股东	公开致歉	北京七星华创电子股份有限公司		《证券法》	是	制造业	集成电路
600829.SH	2014-06-20	业绩预测结果不准确或不及时,未依法履行其他职责,涉嫌违反证券法律法规	王栋	公司高管	公开批评	上海证券交易所		《股票上市规则》、《上海证券交易所纪律处分和监管措施实施办法》	否	批发和零售业	化学制剂
600829.SH	2014-06-20	业绩预测结果不准确或不及时,未依法履行其他职责,涉嫌违反证券法律法规	林本松	公司高管	公开批评	上海证券交易所		《股票上市规则》、《上海证券交易所纪律处分和监管措施实施办法》	否	批发和零售业	化学制剂
600829.SH	2014-06-20	业绩预测结果不准确或不及时,未依法履行其他职责,涉嫌违反证券法律法规	李向阳	公司高管	公开批评	上海证券交易所		《股票上市规则》、《上海证券交易所纪律处分和监管措施实施办法》	否	批发和零售业	化学制剂
600829.SH	2014-06-20	业绩预测结果不准确或不及时,未依法履行其他职责,涉嫌违反证券法律法规	哈药集团三精制药股份有限公司	公司本身	公开批评	上海证券交易所		《股票上市规则》、《上海证券交易所纪律处分和监管措施实施办法》	否	批发和零售业	化学制剂
600829.SH	2014-06-20	业绩预测结果不准确或不及时,未依法履行其他职责,涉嫌违反证券法律法规	刘春凤	公司高管	公开批评	上海证券交易所		《股票上市规则》、《上海证券交易所纪律处分和监管措施实施办法》	否	批发和零售业	化学制剂
600540.SH	2014-06-19	业绩预测结果不准确或不及时,未及时披露公司重大事件,未依法履行其他职责	郭玉星	公司高管	公开批评	上海证券交易所		《股票上市规则》,《上海证券交易所纪律处分和监管措施实施办法》	否	农、林、牧、渔业	种植业
600540.SH	2014-06-19	业绩预测结果不准确或不及时,未及时披露公司重大事件,未依法履行其他职责	刘清军	公司高管	公开批评	上海证券交易所		《股票上市规则》,《上海证券交易所纪律处分和监管措施实施办法》	否	农、林、牧、渔业	种植业
600540.SH	2014-06-19	业绩预测结果不准确或不及时,未及时披露公司重大事件,未依法履行其他职责	刘江	公司高管	公开批评	上海证券交易所		《股票上市规则》,《上海证券交易所纪律处分和监管措施实施办法》	否	农、林、牧、渔业	种植业
600540.SH	2014-06-19	业绩预测结果不准确或不及时,未及时披露公司重大事件,未依法履行其他职责	刘君	公司高管	公开批评	上海证券交易所		《股票上市规则》,《上海证券交易所纪律处分和监管措施实施办法》	否	农、林、牧、渔业	种植业
600677.SH	2014-06-19	业绩预测结果不准确或不及时,未依法履行其他职责,未及时披露公司重大事件	李淑敏	公司高管	公开批评	上海证券交易所		《上海证券交易所股票上市规则》,《上海证券交易所纪律处分和监管措施实施办法》	否	批发和零售业	通信终端设备
600540.SH	2014-06-19	业绩预测结果不准确或不及时,未及时披露公司重大事件,未依法履行其他职责	何伟	公司高管	公开批评	上海证券交易所		《股票上市规则》,《上海证券交易所纪律处分和监管措施实施办法》	否	农、林、牧、渔业	种植业
600677.SH	2014-06-19	业绩预测结果不准确或不及时,未依法履行其他职责,未及时披露公司重大事件	杜尧	公司高管	公开批评	上海证券交易所		《上海证券交易所股票上市规则》,《上海证券交易所纪律处分和监管措施实施办法》	否	批发和零售业	通信终端设备
600677.SH	2014-06-19	业绩预测结果不准确或不及时,未依法履行其他职责,未及时披露公司重大事件	徐宏伟	公司高管	公开批评	上海证券交易所		《上海证券交易所股票上市规则》,《上海证券交易所纪律处分和监管措施实施办法》	否	批发和零售业	通信终端设备
600145.SH	2014-06-19	涉嫌违反证券法律法规	贵州国创能源控股(集团)股份有限公司	公司本身	立案调查	中国证券监督管理委员会		《中华人民共和国证券法》	否	制造业	陶瓷
600677.SH	2014-06-19	业绩预测结果不准确或不及时,未依法履行其他职责,未及时披露公司重大事件	航天通信控股集团股份有限公司	公司本身	公开批评	上海证券交易所		《上海证券交易所股票上市规则》,《上海证券交易所纪律处分和监管措施实施办法》	否	批发和零售业	通信终端设备
600677.SH	2014-06-19	业绩预测结果不准确或不及时,未依法履行其他职责,未及时披露公司重大事件	郭兆海	公司高管	公开批评	上海证券交易所		《上海证券交易所股票上市规则》,《上海证券交易所纪律处分和监管措施实施办法》	否	批发和零售业	通信终端设备
600677.SH	2014-06-19	业绩预测结果不准确或不及时,未依法履行其他职责,未及时披露公司重大事件	于喜国	公司高管	公开批评	上海证券交易所		《上海证券交易所股票上市规则》,《上海证券交易所纪律处分和监管措施实施办法》	否	批发和零售业	通信终端设备
600540.SH	2014-06-19	业绩预测结果不准确或不及时,未及时披露公司重大事件,未依法履行其他职责	新疆赛里木现代农业股份有限公司	公司本身	公开批评	上海证券交易所		《股票上市规则》,《上海证券交易所纪律处分和监管措施实施办法》	否	农、林、牧、渔业	种植业
000007.SZ	2014-06-18	信息披露虚假或严重误导性陈述	刘滔	公司高管	公开处罚	中国证券监督管理委员会深圳监管局	10	《证券法》	否	住宿和餐饮业	餐饮
002377.SZ	2014-06-18	信息披露虚假或严重误导性陈述	彭雅超	公司高管	公开批评	中国证券监督管理委员会湖北监管局		《上市公司信息披露管理办法》	是	制造业	石油加工
000007.SZ	2014-06-18	信息披露虚假或严重误导性陈述	深圳市零七股份有限公司	公司本身	公开处罚	中国证券监督管理委员会深圳监管局	40	《证券法》	否	住宿和餐饮业	餐饮
002377.SZ	2014-06-18	信息披露虚假或严重误导性陈述	高涛	公司高管	公开批评	中国证券监督管理委员会湖北监管局		《上市公司信息披露管理办法》	是	制造业	石油加工
