,Open,High,low,Close,AvgPrice,Turn,Volume,Amount,Tnum,mean_volume,std_volume,zscore_volume,signal
2015-04-21,13.1806,13.497,13.1806,13.4602,13.3681,3.4485,51371878.0,933157808.0,19409.0,61425974.16,25170385.7406,-0.399441481097,0
2015-04-22,13.6074,14.152,13.4897,14.0048,13.9251,5.3105,79109573.0,1496885472.0,30763.0,62483623.7,24769008.4148,0.6712400037,0
2015-04-23,14.0122,15.4031,14.0122,15.4031,14.9517,8.5873,127921930.0,2598950928.0,49879.0,64415458.6,26024604.1352,2.44024735477,1
2015-04-24,15.4546,15.955,15.1529,15.5208,15.5035,6.4399,95932529.0,2020948720.0,41820.0,65747963.48,25895663.6547,1.16562239619,0
2015-04-27,15.5871,15.7343,14.7923,15.0866,15.2109,5.7948,86323005.0,1784194016.0,37280.0,66859088.18,25553706.1256,0.761686650238,0
2015-04-28,15.2633,15.2706,14.4096,14.6671,14.7605,4.512,67213474.0,1348090768.0,28493.0,67895141.02,24451591.1556,-0.0278782274602,0
2015-04-29,14.8291,16.0875,14.6083,15.5061,15.3065,5.649,84151632.0,1750251616.0,42215.0,69132455.2,23648644.3515,0.635096734373,0
2015-04-30,15.5429,16.8382,15.5429,16.4702,16.1145,6.8208,101607408.0,2224862256.0,47303.0,70875766.36,22729673.2137,1.3520494268,0
2015-05-04,16.4702,16.6836,15.8888,16.4628,16.2046,3.8428,57245017.0,1260482416.0,30085.0,71593627.76,21676040.8362,-0.661957175132,0
2015-05-05,16.7793,16.7793,15.5356,16.0433,16.2426,4.0538,60387891.0,1332805296.0,26720.0,72048868.86,21181471.4982,-0.550527278568,0
2015-05-06,16.0654,16.9117,15.8226,16.2641,16.4489,4.1644,62035037.0,1386551856.0,30925.0,71653533.56,21180191.2801,-0.454126992188,0
2015-05-07,16.1022,16.22,14.6377,14.6377,15.0362,6.2009,92372852.0,1887314320.0,36637.0,70776697.42,19274670.8001,1.12044220127,0
2015-05-08,14.5715,14.7923,14.0637,14.5494,14.3646,5.2197,77755684.0,1517705328.0,35231.0,70062766.0,18298071.6746,0.420422333938,0
2015-05-11,14.7555,15.2044,14.4979,14.9836,14.9242,4.5465,67727944.0,1373472896.0,32306.0,70109447.26,18288892.5101,-0.13021582683,0
2015-05-12,15.1308,15.668,14.8879,15.0425,15.2384,4.7648,70980454.0,1469734096.0,28625.0,70327856.86,18231547.8287,0.0357949388681,0
2015-05-13,15.0866,15.3736,14.7481,15.1234,15.1064,4.1263,61468685.0,1261758464.0,29159.0,69904039.46,18185276.935,-0.463856255264,0
2015-05-14,14.9836,15.0498,14.3213,14.5715,14.5614,5.9175,88150593.0,1744175360.0,40527.0,70146841.1,18348781.1153,0.981196068928,0
2015-05-15,14.6451,14.6819,14.071,14.1814,14.2868,3.1656,47156904.0,915467664.0,26689.0,69768551.16,18627379.1711,-1.21389310607,0
2015-05-18,14.1299,14.5568,13.9827,14.3875,14.2817,3.7541,55924114.0,1085272208.0,29573.0,69243655.26,18640589.498,-0.714545066368,0
2015-05-19,14.4832,14.9762,14.2771,14.8953,14.708,3.8893,57937549.0,1157910560.0,30879.0,69340049.24,18567817.8459,-0.614100177771,0
2015-05-20,15.013,15.3589,14.6524,14.7628,15.0828,4.1678,62086271.0,1272444944.0,36962.0,69702845.82,18235774.4728,-0.417672132947,0
2015-05-21,14.7628,15.1529,14.6966,14.9394,14.9142,3.604,53687858.0,1088024176.0,30486.0,68847262.12,17955833.8376,-0.844260659634,0
2015-05-22,14.9836,15.5282,14.9836,15.3516,15.3551,5.3854,80224397.0,1673869216.0,40658.0,69363883.04,17903006.9667,0.60663071741,0
2015-05-25,15.3589,16.0286,15.3589,15.8152,15.6871,6.3173,94107049.0,2005978336.0,42904.0,70449337.72,17720438.7609,1.33505222976,0
2015-05-26,15.9035,16.2568,15.4693,16.0801,15.8443,6.819,101579823.0,2186972992.0,50474.0,71676833.98,17708371.1008,1.68863577851,0
2015-05-27,16.2568,17.5888,15.668,17.2797,16.5413,8.7419,130225358.0,2927019216.0,72641.0,73140759.46,19415937.6676,2.94008970967,1
2015-05-28,16.9265,17.4269,15.5503,15.5503,16.5948,7.3027,108786259.0,2453053360.0,64259.0,73500958.3,19910542.1402,1.77219185955,0
2015-05-29,15.381,15.6901,14.4096,14.8806,15.0364,5.439,81022733.0,1655432688.0,44024.0,74016520.4,19761355.822,0.35454108833,0
2015-06-01,14.726,15.5356,14.7113,15.4546,15.1618,5.2644,78422111.0,1615670480.0,37484.0,74491639.66,19571289.5788,0.20082842902,0
2015-06-02,15.462,16.2568,15.3442,16.1169,15.8402,5.2599,78355792.0,1686522688.0,43016.0,74851719.96,19471196.1412,0.179961827439,0
2015-06-03,16.1537,16.8455,15.8373,16.2568,16.3563,5.5571,82782766.0,1839866304.0,45786.0,74929457.12,19495415.6622,0.402828491377,0
2015-06-04,16.3745,16.8161,14.8143,16.3598,16.073,5.6927,84802757.0,1852118960.0,47740.0,74967967.4,19513329.2792,0.504003671505,0
2015-06-05,16.8382,16.9117,15.9771,16.5585,16.5717,6.7954,101228633.0,2279459712.0,56124.0,75932356.28,19597304.725,1.29080386691,0
2015-06-08,16.507,16.507,15.6975,16.2494,16.1689,6.0568,90225584.0,1982305968.0,48404.0,76759381.1,19302439.8612,0.69764252586,0
2015-06-09,16.3745,16.7572,16.1243,16.691,16.4742,6.8504,102048238.0,2284396336.0,52777.0,77949902.78,18980707.9906,1.26962256792,0
2015-06-10,16.5511,16.6836,16.2126,16.4555,16.4799,5.1693,77005674.0,1724402384.0,43466.0,78180839.96,18895682.5921,-0.0621922999751,0
2015-06-11,16.4113,17.0663,16.2641,16.7793,16.771,6.5449,97497788.0,2221844288.0,53964.0,78767009.5,19033498.024,0.984095434079,0
2015-06-12,16.8897,17.8979,16.6542,17.5888,17.2746,8.8591,131971820.0,3097776544.0,71237.0,79339794.1,20184004.7348,2.6076106596,1
2015-06-15,17.7434,18.3542,17.2944,17.2944,17.8986,7.8573,117048126.0,2846725840.0,65746.0,80513038.88,20640921.9142,1.77003174916,0
2015-06-16,17.1472,17.1472,16.1464,16.4407,16.5897,5.5193,82219345.0,1853423536.0,43134.0,80529969.02,20641988.6671,0.0818417259716,0
2015-06-17,16.4555,16.7646,15.8373,16.6027,16.4097,3.8258,56991446.0,1270781200.0,31714.0,80112746.06,20906342.7,-1.10594666852,0
2015-06-18,16.4187,16.7278,15.9403,15.955,16.3836,3.8024,56643156.0,1261008656.0,33272.0,79880858.98,21104112.6347,-1.10109832061,0
2015-06-19,15.9698,15.9698,14.3581,14.3581,15.1536,3.9598,58988301.0,1214626960.0,30804.0,79607384.98,21287364.5581,-0.968606702051,0
2015-06-23,14.5347,14.8732,13.3278,14.5347,14.2493,3.8227,56945907.0,1102595824.0,32644.0,79256211.02,21516856.5457,-1.03687562226,0
