sid	unlock_date	total_equity	ratio_to_total_equity	type	after_ratio_to_total_equity	before_ratio_to_total_equity	after_total_number	before_total_number	cumsum_unlock_times
v0	v1	v2	v3	v4	v5	v6	v7	v8	v9
sid	date	c	c	d	c	c	c	c	d
300371.SZ	20140123	4800	25	首发一般股份	25		1200	0	1
300373.SZ	20140123	8240	25	首发一般股份	25		2060	0	1
002712.SZ	20140123	8531.95	25	首发一般股份	25		2132.99	0	1
300368.SZ	20140123	6190	25	首发一般股份	25		1547.5	0	1
300365.SZ	20140123	4832	25	首发一般股份	25		1208	0	1
002709.SZ	20140123	12041.32	25	首发一般股份	25		3010.5	0	1
002707.SZ	20140123	5829	25	首发一般股份	25		1457.5	0	1
300370.SZ	20140123	4861.57	27.67	首发一般股份	27.67		1345	0	1
000061.SZ	20140124	169696.41	13.54	定向增发机构配售股份	94.62	81.08	160569.74	137591.74	6
000576.SZ	20140124	44286.13	0.13	其他类型	57.84	57.71	25616.05	25557.57	6
603555.SS	20140124	61400	14.5	首发一般股份	14.5		8900	0	1
002522.SZ	20140127	22082.06	11.3	配股一般股份	50.58	39.27	11168.3	8672	5
600290.SS	20140127	52688.37	2.22	定向增发机构配售股份	100	97.78	52688.37	51518.37	8
601137.SS	20140127	21500	55.81	首发原股东限售股份	100	44.19	21500	9500	4
600307.SS	20140127	626335.74	34.68	定向增发机构配售股份	100	65.32	626335.74	409135.74	5
600979.SS	20140127	71789.21	17.41	定向增发机构配售股份	100	82.59	71789.21	59289.21	6
002344.SZ	20140127	112000	7.38	首发原股东限售股份	97.77	90.4	109504.93	101244.37	5
300165.SZ	20140127	15392	10.81	首发原股东限售股份	57.79	46.98	8895.5	7231.5	6
300166.SZ	20140127	13572.1	27.93	首发原股东限售股份	58.65	30.72	7960.5	4170	6
300168.SZ	20140127	24355.52	26.42	首发原股东限售股份	98.12	71.7	23898.49	17462.86	5
002711.SZ	20140127	15001	25.02	首发一般股份	25.02		3752.75	0	1
300377.SZ	20140127	5535	25.02	首发一般股份	25.02		1385	0	1
300372.SZ	20140127	8577.86	25	首发一般股份	25		2144.5	0	1
300366.SZ	20140127	5715	25	首发一般股份	25		1428.75	0	1
300376.SZ	20140127	8945	25.03	首发一般股份	25.03		2239	0	1
300378.SZ	20140127	11878.47	25.26	首发一般股份	25.26		3000	0	1
002721.SZ	20140127	16725	25	首发一般股份	25		4181.25	0	1
300375.SZ	20140127	8869.15	25.03	首发一般股份	25.03		2220	0	1
601519.SS	20140128	180700	63.95	首发原股东限售股份	100	36.05	180700	65149.39	4
002544.SZ	20140128	34384	37.24	首发原股东限售股份	97.24	60	33433.55	20630.55	4
002542.SZ	20140128	20040	1.57	首发原股东限售股份	34.32	32.75	6878.44	6563.44	4
300049.SZ	20140128	12506	0.52	首发原股东限售股份	87.54	87.02	10947.92	10883.05	5
002543.SZ	20140128	40000	75	首发原股东限售股份	100	25	40000	10000	3
000528.SZ	20140128	112524.21	1.33	定向增发机构配售股份	99.98	98.65	112506.72	111006.72	5
002716.SZ	20140128	22876.85	25	首发一般股份	25		5719.21	0	1
002719.SZ	20140128	9160	25	首发一般股份	25		2290	0	1
300379.SZ	20140128	5143.32	25	首发一般股份	25		1285.83	0	1
300381.SZ	20140128	4580	25	首发一般股份	25		1145	0	1
601225.SS	20140128	1000000	5	首发一般股份	5		50000	0	1
002714.SZ	20140128	24200	25	首发一般股份	25		6050	0	1
300380.SZ	20140128	6872	25	首发一般股份	25		1718	0	1
002722.SZ	20140128	13410	25.06	首发一般股份	25.06		3360	0	1
002718.SZ	20140128	5160	25.39	首发一般股份	25.39		1310	0	1
600643.SS	20140129	110549.22	0	股权分置限售股份	73.99	73.99	81797.29	81792.33	10
300046.SZ	20140129	14208	12.42	首发机构配售股份	75.17	62.75	10680	8916	5
300145.SZ	20140129	14509.1	7.26	首发原股东限售股份	65.75	58.49	9539.53	8486.53	5
300383.SZ	20140129	5458	25	首发一般股份	25		1364.5	0	1
300369.SZ	20140129	8460	25	首发一般股份	25		2115	0	1
300382.SZ	20140129	5323.7	25	首发一般股份	25		1330.92	0	1
300363.SZ	20140129	10900	25	首发一般股份	25		2725	0	1
002725.SZ	20140129	10000	25	首发一般股份	25		2500	0	1
300367.SZ	20140129	5881	25	首发一般股份	25		1470.25	0	1
002723.SZ	20140129	9335	25.01	首发一般股份	25.01		2335	0	1
600010.SS	20140130	800259.1	18.09	定向增发机构配售股份	98.36	80.27	787101.21	642364.37	5
002342.SZ	20140130	96000	63.25	首发原股东限售股份	93.92	30.68	90168	29448	5
601799.SS	20140207	23967.73	70.05	首发原股东限售股份	99.39	29.33	23820.51	7030.51	7
600284.SS	20140207	69304	23.49	定向增发机构配售股份	95.38	71.89	66104	49824	6
601898.SS	20140207	1325866.34	1.09	首发原股东限售股份	69.03	67.93	915200.04	900697.72	4
601616.SS	20140207	93258	40.66	首发原股东限售股份	100	59.34	93258	55335.42	4
600237.SS	20140207	56436.96	29.12	定向增发机构配售股份	100	70.88	56436.96	40000	6
300172.SZ	20140207	13000	7.69	首发原股东限售股份	56.09	48.4	7291.38	6291.95	5
300174.SZ	20140207	13600	20.74	首发原股东限售股份	47.43	26.69	6451.06	3629.78	4
002456.SZ	20140207	46508	17.43	定向增发机构配售股份	77.48	60.05	36035.28	27927.28	5
300301.SZ	20140207	27268	2.03	首发原股东限售股份	29.15	27.11	7948.02	7393.4	6
002063.SZ	20140207	46205.44	1.04	股权激励限售股份	83.99	82.95	38807.76	38327.62	8
002437.SZ	20140207	28000	65.62	首发原股东限售股份	100	34.38	28000	9625	5
601798.SS	20140207	35452.82	3.41	配股一般股份	36.13	32.72	12808.82	11600	4
002691.SZ	20140207	20000	2.5	首发原股东限售股份	33.91	31.41	6781.53	6281.53	3
300173.SZ	20140207	11323	53.94	首发原股东限售股份	100	46.06	11323	5215	8
300170.SZ	20140207	26617.17	34.2	首发原股东限售股份	91	56.8	24222.02	15118.52	7
300171.SZ	20140207	20800	18.28	首发原股东限售股份	50.78	32.5	10562.5	6760	4
300238.SZ	20140207	12344.5	0.48	首发原股东限售股份	59.41	58.93	7333.88	7274.7	6
002353.SZ	20140207	59705.36	0.58	首发原股东限售股份	53.22	52.63	31772.75	31424.66	6
300287.SZ	20140207	12600	0.24	首发原股东限售股份	46.01	45.78	5797.88	5767.88	4
002145.SZ	20140207	41011.19	3.66	其他类型	39.01	35.36	16000	14500	6
002224.SZ	20140210	32733.48	26.75	定向增发机构配售股份	57.44	30.68	18800.48	10042.99	4
600556.SS	20140210	39479.37	34.29	股权分置限售股份	100	65.71	39479.37	25943.67	5
000403.SZ	20140210	27257.76	0.32	股权分置限售股份	59.89	59.56	16323.71	16236.03	1
002004.SZ	20140210	58073.28	11.29	定向增发机构配售股份	73.4	62.1	42623.38	36066	6
603005.SS	20140210	22669.7	25	首发一般股份	25		5667.42	0	1
002546.SZ	20140211	16800	64.56	首发原股东限售股份	95.38	30.82	16024.65	5177.85	4
600354.SS	20140211	44780.21	2.46	定向增发机构配售股份	100	97.54	44780.21	43680.21	6
002545.SZ	20140211	26025	74.93	首发原股东限售股份	100	25.07	26025	6525	3
603288.SS	20140211	74850	10	首发一般股份	10		7485	0	1
600089.SS	20140212	316591.3	16.75	配股一般股份	100	83.25	316591.3	263555.98	6
000831.SZ	20140212	98088.9	7.84	定向增发机构配售股份	74.45	66.61	73025.69	65338.98	6
000070.SZ	20140212	27100	7.75	定向增发机构配售股份	95.41	87.66	25856.97	23756.97	5
000409.SZ	20140213	47270.93	16.56	定向增发机构配售股份	52.33	35.76	24734.59	16905.9	8
300295.SZ	20140214	5335	1.05	首发原股东限售股份	47.27	46.22	2521.74	2465.86	4
300178.SZ	20140217	12240	3.88	首发原股东限售股份	62.81	58.93	7688.5	7213.5	6
300176.SZ	20140217	10728	66.92	首发原股东限售股份	100	33.08	10728	3548.44	5
300175.SZ	20140217	47080	43.73	首发原股东限售股份	100	56.27	47080	26491.52	4
300179.SZ	20140217	21600	21.46	首发原股东限售股份	61.58	40.12	13301.13	8666.39	5
601989.SS	20140218	1748889.52	19.21	定向增发机构配售股份	88.46	69.24	1546984.75	1211008.48	6
002548.SZ	20140218	14100	71.45	首发原股东限售股份	100	28.55	14100	4025.64	4
002547.SZ	20140218	28400	61.06	首发原股东限售股份	99.9	38.84	28371.92	11031.92	4
002549.SZ	20140218	27000	9	首发原股东限售股份	34	25	9180	6750	4
300177.SZ	20140218	20194.88	13.71	首发原股东限售股份	58.31	44.6	11776.54	9006.89	4
002717.SZ	20140219	8572	25	首发一般股份	25		2143	0	1
002713.SZ	20140219	12484.05	25	首发一般股份	25		3121.01	0	1
002715.SZ	20140219	9200	25	首发一般股份	25		2300	0	1
300301.SZ	20140220	27268	0.11	首发原股东限售股份	29.26	29.15	7979.64	7949.35	7
002330.SZ	20140220	50200	12.92	首发原股东限售股份	74.16	61.24	37228	30742	4
002524.SZ	20140220	50333.28	0.29	定向增发机构配售股份	79.17	78.88	39846.87	39700.58	9
002550.SZ	20140220	16000	42.85	首发原股东限售股份	97.71	54.85	15632.85	8776.47	4
600594.SS	20140221	39599.97	0.6	股权激励限售股份	90.47	89.88	35826.76	35591.02	7
000622.SZ	20140221	42522.6	17.69	股权分置限售股份	64.25	46.56	27320.36	19798.5	1
000521.SZ	20140221	76373.92	0.19	股权分置限售股份	70.07	69.88	53514.13	53368.25	9
300183.SZ	20140224	22248.1	25.59	首发原股东限售股份	51.42	25.84	11440.6	5748.1	3
601216.SS	20140224	128000	61.07	首发原股东限售股份	100	38.93	128000	49836	4
300184.SZ	20140224	10005	7.94	首发原股东限售股份	74.08	66.14	7411.91	6617.77	4
300149.SZ	20140224	20100	10.91	首发原股东限售股份	58.68	47.78	11795.48	9603.06	6
300181.SZ	20140224	14400	7.73	首发原股东限售股份	70.75	63.01	10187.3	9073.55	6
300182.SZ	20140224	23239.78	24.18	首发原股东限售股份	48.53	24.35	11278.2	5659.18	4
002553.SZ	20140225	8700	63.51	首发原股东限售股份	100	36.49	8700	3175	4
002061.SZ	20140225	34866.13	29.99	定向增发机构配售股份	90.21	60.22	31452.13	20997	6
002551.SZ	20140225	27675	54.63	首发原股东限售股份	100	45.37	27675	12555.84	4
002552.SZ	20140225	15000	73.5	首发原股东限售股份	100	26.5	15000	3975	4
002554.SZ	20140225	45562.5	16.26	首发原股东限售股份	54.99	38.73	25054.82	17645.18	4
600740.SS	20140225	76570	26.12	定向增发机构配售股份	85.78	59.66	65683.28	45683.28	6
002049.SZ	20140225	30340.9	2.13	定向增发机构配售股份	35.06	32.93	10637.7	9990.93	5
300180.SZ	20140225	15800	26.08	首发原股东限售股份	73.96	47.87	11685.25	7564	6
002519.SZ	20140226	21282.84	8.61	首发原股东限售股份	33.92	25.31	7218.85	5386.94	3
002065.SZ	20140226	72177.51	3.49	定向增发机构配售股份	89.68	86.19	64730.67	62208.64	6
300304.SZ	20140227	10000	3.5	首发原股东限售股份	30.25	26.75	3025	2675	4
000533.SZ	20140227	69081.6	0.89	股权分置限售股份	99.14	98.25	68487.71	67869.47	6
000404.SZ	20140227	55962.4	30.55	定向增发机构配售股份	88.54	58	49550.89	32456.87	6
600682.SS	20140303	35832.17	0.12	股权分置限售股份	99.86	99.74	35782.52	35739.02	8
601116.SS	20140303	41075.88	83.23	首发原股东限售股份	97.84	14.61	40189.31	6000	3
601992.SS	20140303	428373.71	43.07	首发原股东限售股份	72.63	29.57	311140.26	126655.02	5
002561.SZ	20140303	41576.3	31.6	首发原股东限售股份	91.58	59.98	38075.2	24936.2	4
002556.SZ	20140303	47840	38.58	首发原股东限售股份	100	61.42	47840	29385.02	4
002555.SZ	20140303	13400	18.58	首发原股东限售股份	43.96	25.37	5890	3400	3
002557.SZ	20140303	33800	75	首发原股东限售股份	100	25	33800	8450	3
600891.SS	20140303	32552.89	17.5	股权分置限售股份	99.27	81.77	32316.74	26619.21	5
002558.SZ	20140303	5950	74.36	首发原股东限售股份	99.71	25.34	5932.62	1507.92	4
002560.SZ	20140303	13980.31	38.62	首发原股东限售股份	66.87	28.25	9349.32	3950.03	4
002145.SZ	20140304	41011.19	6.83	定向增发机构配售股份	45.84	39.01	18799.07	16000	7
002524.SZ	20140305	50333.28	1.84	定向增发机构配售股份	81.01	79.17	40774.03	39846.87	10
600978.SS	20140305	148287	22.27	配股一般股份	99.47	77.2	147504	114483.27	11
002695.SZ	20140305	12387.65	4.04	首发原股东限售股份	34.66	30.62	4293.65	3793.65	3
000863.SZ	20140307	73869.09	5.26	股权分置限售股份	23.64	18.38	17462.03	13575	3
601186.SS	20140310	1233754.15	1.99	首发原股东限售股份	83.17	81.19	1026124.55	1001624.55	4
601011.SS	20140310	38700	67.8	首发原股东限售股份	100	32.2	38700	12460.67	4
600973.SS	20140310	41138.75	1.16	定向增发机构配售股份	100	98.84	41138.75	40660.85	7
300185.SZ	20140310	90000	21.39	首发原股东限售股份	76.11	54.72	68496.32	49248.46	5
300219.SZ	20140310	24546.6	0.37	首发原股东限售股份	43.39	43.02	10650.17	10560.32	8
002559.SZ	20140310	17600	30.92	首发原股东限售股份	78.55	47.63	13825.36	8382.78	4
300148.SZ	20140310	15210	0.03	首发原股东限售股份	34.31	34.29	5219.2	5214.92	8
300187.SZ	20140310	20034	69.51	首发原股东限售股份	97.68	28.17	19569.52	5643.75	5
002192.SZ	20140311	14210.35	1.97	定向增发机构配售股份	71.19	69.22	10116.04	9836.59	6
002564.SZ	20140311	36985.6	44.12	首发原股东限售股份	81.87	37.74	30278.76	13959.4	4
002562.SZ	20140311	21340	9.36	首发原股东限售股份	34.39	25.02	7338.3	5340	3
300013.SZ	20140312	9000	22.72	首发原股东限售股份	100	77.28	9000	6954.75	5
000410.SZ	20140312	76547.09	0.14	股权分置限售股份	70.58	70.44	54026.53	53922.53	13
002609.SZ	20140314	18405.08	0.07	股权激励限售股份	25.43	25.37	4681.26	4668.73	4
002250.SZ	20140314	53333.22	1.52	股权激励限售股份	66.98	65.46	35720.65	34911.01	7
002136.SZ	20140314	21502	6.13	定向增发机构配售股份	98.78	92.65	21238.75	19920.75	9
601199.SS	20140317	23380	65.59	首发原股东限售股份	100	34.41	23380	8044.03	4
300296.SZ	20140317	15000	6.27	首发原股东限售股份	37.62	31.35	5643.29	4702.49	5
002371.SZ	20140317	35220	1.83	首发原股东限售股份	94.5	92.66	33281.45	32635.26	7
300191.SZ	20140317	32000	17.83	首发原股东限售股份	46.51	28.68	14882	9176	4
002354.SZ	20140317	9350	15.07	首发原股东限售股份	69.85	54.78	6531.25	5121.88	6
002370.SZ	20140317	20400	14.57	首发原股东限售股份	70.68	56.11	14417.92	11445.9	6
300188.SZ	20140317	22181.32	29.11	首发原股东限售股份	54.86	25.74	12167.96	5710.13	4
600681.SS	20140318	25147.76	0.08	股权分置限售股份	88.05	87.97	22142.19	22123.28	5
600333.SS	20140318	52961.98	6.51	定向增发机构配售股份	93.66	87.14	49601.98	46151.98	3
600373.SS	20140318	65871.2	13.89	定向增发机构配售股份	100	86.11	65871.2	56724.5	6
002566.SZ	20140318	22063.44	38.88	首发原股东限售股份	88.96	50.08	19627.26	11048.76	4
300189.SZ	20140318	25600	56	首发原股东限售股份	99.38	43.38	25440	11104	4
002565.SZ	20140318	34837	0	首发原股东限售股份	52.54	52.54	18304	18303.8	4
300173.SZ	20140318	11323	0.08	首发原股东限售股份	100	99.92	11323	11314.13	9
300010.SZ	20140318	26319.73	1.09	定向增发机构配售股份	59.01	57.91	15530.83	15242.85	7
002339.SZ	20140319	37889.6	9.21	定向增发机构配售股份	97.56	88.35	36963.4	33473.8	6
600509.SS	20140319	90569.66	20.21	定向增发机构配售股份	92.6	72.4	83869.66	65569.66	8
002106.SZ	20140319	70581.62	13.21	定向增发机构配售股份	95.36	82.15	67306.54	57984.54	11
600242.SS	20140320	27333.54	0.04	股权分置限售股份	97.67	97.62	26696.26	26683.96	7
601313.SS	20140320	40045.66	0.98	股权激励限售股份	67.05	66.07	26852.54	26458.34	4
002072.SZ	20140320	17600	25.57	追加承诺限售股份上市流通	99.96	74.39	17593.31	13093.31	4
300228.SZ	20140320	13524.8	0.02	首发原股东限售股份	61.09	61.07	8262.25	8259.3	5
002144.SZ	20140320	17676.25	14.38	定向增发机构配售股份	70.41	56.02	12445.18	9902.8	10
002362.SZ	20140321	21410.28	38.17	追加承诺限售股份上市流通,首发原股东限售股份	100	61.83	21410.28	13238.39	5
000153.SZ	20140321	31214.12	11.79	定向增发机构配售股份	85.81	74.02	26784.52	23104.52	6
000626.SZ	20140321	20250	0.2	股权分置限售股份	99.9	99.7	20229.75	20189.25	6
300304.SZ	20140321	10000	1.75	首发原股东限售股份	32	30.25	3200	3025	5
601601.SS	20140324	906200	0.87	首发原股东限售股份	69.37	68.51	628670	620828.73	6
600526.SS	20140324	20344.47	31.19	定向增发机构配售股份	100	68.81	20344.47	14000	4
601008.SS	20140324	101521.51	5.42	定向增发机构配售股份	79.95	74.53	81163.51	75659.93	7
300193.SZ	20140324	22150	15.57	首发原股东限售股份	67.76	52.18	15008.23	11558.72	5
000826.SZ	20140324	64893.59	0.22	股权激励限售股份	96.4	96.18	62556.4	62415.38	8
600157.SS	20140325	176755.95	4.1	定向增发机构配售股份	85.23	81.13	150650.15	143394.75	8
002023.SZ	20140325	33698.54	12.41	定向增发机构配售股份	98.21	85.8	33093.89	28912.89	6
300335.SZ	20140325	20923.33	1.39	首发原股东限售股份	50.88	49.49	10645.84	10354.01	3
002568.SZ	20140325	16000	44.98	首发原股东限售股份	96.98	52.01	15517	8321	4
002567.SZ	20140325	42078.6	44.39	首发原股东限售股份	99.76	55.37	41979.6	23300.13	4
300194.SZ	20140325	17342	17.23	首发原股东限售股份	44.89	27.66	7785.08	4796.89	4
300077.SZ	20140326	27200	27.5	追加承诺限售股份上市流通	91.8	64.3	24968.82	17488.82	7
300298.SZ	20140326	13297.6	0	首发原股东限售股份	25.84	25.84	3435.9	3435.9	4
300302.SZ	20140326	6000	1.47	首发原股东限售股份	31.87	30.4	1912.26	1823.81	5
300192.SZ	20140326	11025	12.76	首发原股东限售股份	61.73	48.98	6806.25	5400	7
601339.SS	20140327	75000	0.67	首发原股东限售股份	25.6	24.93	19200	18700	3
600114.SS	20140327	25147.7	1.19	股权激励限售股份	44.01	42.82	11067.8	10767.8	3
600343.SS	20140327	31910.32	15.04	定向增发机构配售股份	90.15	75.11	28768.32	23968.32	7
002341.SZ	20140327	37344	21.59	定向增发机构配售股份	67.17	45.58	25085.2	17021.2	6
000030.SZ	20140327	129869.51	25	定向增发机构配售股份	39.25	14.24	50970.99	18497.86	10
000543.SZ	20140327	105317.41	23.94	定向增发机构配售股份	97.34	73.4	102515.29	77300.42	5
000601.SZ	20140328	108055.17	14.34	定向增发机构配售股份	91.99	77.65	99403.32	83903.32	12
300242.SZ	20140328	7500	0.01	首发原股东限售股份	35.82	35.8	2686.19	2685.25	5
002359.SZ	20140328	41680	18.47	定向增发机构配售股份	83.65	65.17	34863.73	27163.73	4
600578.SS	20140331	461732.1	15.65	定向增发机构配售股份	48.89	33.24	225731.7	153477.37	5
300197.SZ	20140331	31580.59	31.6	首发原股东限售股份	57.97	26.37	18308.55	8327.54	5
300195.SZ	20140331	14252.4	55.62	首发原股东限售股份	81.65	26.03	11637.5	3710	5
300196.SZ	20140331	12000	14.06	首发原股东限售股份	56.39	42.33	6766.88	5079.38	5
600873.SS	20140331	310822.66	12.87	定向增发机构配售股份	100	87.13	310822.66	270823.66	7
300180.SZ	20140331	15800	0.19	首发原股东限售股份	72.63	72.44	11475.06	11445.06	7
000078.SZ	20140331	73171.39	10.82	定向增发机构配售股份	99.87	89.05	73076.8	65156.45	5
000038.SZ	20140331	9622.8	3.27	股权分置限售股份	29.13	25.86	2803.2	2488.2	1
000893.SZ	20140331	27178	16.48	定向增发机构配售股份	95.66	79.18	25998.63	21520.63	5
600225.SS	20140401	62640.17	8.16	股权分置限售股份	98.68	90.52	61814.21	56702.51	8
600353.SS	20140401	27186	5.01	定向增发机构配售股份	100	94.99	27186	25824.63	6
002660.SZ	20140401	19416	0.12	首发原股东限售股份	59.01	58.89	11457.9	11434.5	6
002247.SZ	20140401	12880	22.2	定向增发机构配售股份	85.6	63.4	11025.55	8165.55	5
000045.SZ	20140401	50652.18	23.4	定向增发机构配售股份	80.07	56.67	40556.39	28702.18	6
600734.SS	20140402	35155.84	14.85	股权分置限售股份	99.87	85.02	35110.84	29890.16	9
600552.SS	20140402	23932.98	22	定向增发机构配售股份	95.33	73.33	22815.96	17550	5
002376.SZ	20140402	60000	3.33	首发原股东限售股份	81.92	78.59	49151.56	47151.56	6
600390.SS	20140402	39065.75	15.83	定向增发机构配售股份	97.77	81.94	38194.67	32010	5
300015.SZ	20140403	43327.15	0.47	股权激励限售股份	80.21	79.73	34750.83	34545.4	6
600235.SS	20140403	35130	25.02	定向增发机构配售股份	100	74.98	35130	26340	5
002410.SZ	20140403	53755	0.59	股权激励限售股份	67	66.41	36015.45	35700.52	5
000639.SZ	20140403	18832.28	10.12	定向增发机构配售股份	58.04	47.92	10929.74	9024.74	6
000759.SZ	20140403	68102.15	0	股权分置限售股份	99.93	99.93	68057.63	68055.02	11
000403.SZ	20140403	27257.76	5.7	股权分置限售股份	65.59	59.89	17877.85	16323.71	2
600778.SS	20140404	31149.14	0.3	股权分置限售股份	99.62	99.33	31031.29	30939.01	9
000721.SZ	20140404	24952.8	0.28	股权分置限售股份	67.25	66.98	16781.2	16712.14	7
000592.SZ	20140404	84740.7	0.04	股权分置限售股份	98.77	98.73	83695.2	83661.49	10
002504.SZ	20140404	13910	25.94	首发原股东限售股份	90.26	64.31	12554.58	8945.77	4
600360.SS	20140408	73808	8.13	定向增发机构配售股份	100	91.87	73808	67808	9
600018.SS	20140408	2275517.96	7.75	定向增发机构配售股份	100	92.25	2275517.96	2099080.01	5
300198.SZ	20140408	20928.05	20.17	首发原股东限售股份	82.19	62.02	17199.89	12979.11	7
300201.SZ	20140408	35200	35.46	首发原股东限售股份	99.48	64.01	35015.55	22532.75	4
002572.SZ	20140409	44099	0.8	股权激励限售股份	25.29	24.49	11150.7	10800	3
000739.SZ	20140409	81545.57	8.16	定向增发机构配售股份	71.12	62.96	57995.54	51343.66	9
300309.SZ	20140410	21727.4	3.63	首发原股东限售股份	33.86	30.23	7356.11	6567.41	7
600361.SS	20140411	66580.79	27.19	定向增发机构配售股份	100	72.81	66580.79	48480.79	11
002701.SZ	20140411	30667	4.22	首发原股东限售股份	52.84	48.63	16205.75	14912	3
002251.SZ	20140411	59711.59	17.26	定向增发机构配售股份	91.11	73.85	54401.9	44096.08	6
000613.SZ	20140411	36410	0.25	股权分置限售股份	71.56	71.31	26056.48	25964.08	11
601808.SS	20140414	477159.2	1.05	首发原股东限售股份	62.04	61	296046.8	291046.8	4
600770.SS	20140414	110460	2.04	定向增发机构配售股份	100	97.96	110460	108210	7
600699.SS	20140414	63614.48	8.98	定向增发机构配售股份	38.17	29.2	24282.01	18572.37	6
002569.SZ	20140414	14001	68.17	首发原股东限售股份	99.65	31.48	13951.78	4407.28	4
002572.SZ	20140414	44099	72.56	首发原股东限售股份	97.82	25.26	43138.7	11138.7	4
300202.SZ	20140415	30528	66.04	首发原股东限售股份	100	33.96	30528	10368	5
300204.SZ	20140415	24012	40.6	首发原股东限售股份	68.4	27.8	16423.68	6674.18	5
300203.SZ	20140415	44500	49.09	首发原股东限售股份	70.8	21.71	31505.14	9661.28	6
300010.SZ	20140415	26319.73	0.44	其他类型	59.42	58.98	15639.73	15522.8	8
300200.SZ	20140415	21360	56.05	首发原股东限售股份	93.64	37.59	20000.73	8028.45	4
002465.SZ	20140415	66501.3	1.69	首发机构配售股份	88.98	87.29	59175.7	58052.19	4
600561.SS	20140416	23706.4	21.66	定向增发机构配售股份	100	78.34	23706.4	18572.4	5
000680.SZ	20140416	124078.76	0.12	股权分置限售股份	76.95	76.84	95482.9	95337	6
600568.SS	20140416	36622.65	22.59	股权分置限售股份	73.93	51.34	27074.65	18802.65	4
002364.SZ	20140416	25413.72	3.75	定向增发机构配售股份	76.79	73.04	19514.56	18561.64	10
002570.SZ	20140416	63907.5	38.66	首发原股东限售股份	99.7	61.04	63716.66	39008.17	4
300146.SZ	20140416	65616	0.05	首发原股东限售股份	49.84	49.79	32704.96	32673.39	8
002448.SZ	20140417	23524.09	4.8	追加承诺限售股份上市流通	76.29	71.49	17946.9	16818.21	6
002286.SZ	20140417	18462.8	26.77	定向增发机构配售股份	65.72	38.95	12134.48	7191.68	5
002179.SZ	20140418	46347.3	9.33	定向增发机构配售股份	95.98	86.66	44484.41	40162.5	6
000333.SZ	20140418	168632.34	0	首发原股东限售股份	40.7	40.7	68631.8	68631.74	2
600800.SS	20140421	61127.1	0.43	股权分置限售股份	99.84	99.41	61031.1	60767.48	6
300205.SZ	20140421	21502.8	57.06	首发原股东限售股份	97.63	40.57	20992.82	8723.62	4
300352.SZ	20140421	13340	1.46	首发原股东限售股份	47.13	45.67	6287.21	6092.77	3
300206.SZ	20140421	13000	14.45	首发原股东限售股份	56.64	42.19	7363.14	5484.18	4
600633.SS	20140422	59414.38	23.11	定向增发机构配售股份	48.7	25.59	28935.3	15205.08	6
002219.SZ	20140422	61664.68	0.72	股权激励限售股份	98.02	97.3	60442.02	59999.68	4
600866.SS	20140422	55039.35	1.06	定向增发机构配售股份	100	98.94	55039.35	54453.53	4
002573.SZ	20140422	53280	50.25	首发原股东限售股份	99.76	49.51	53152.88	26379.68	4
002575.SZ	20140422	26760	74.74	首发原股东限售股份	100	25.26	26760	6760	3
002364.SZ	20140422	25413.72	0.78	股权激励限售股份	77.57	76.79	19712.88	19514.56	11
002574.SZ	20140422	24000	68.91	首发原股东限售股份	100	31.09	24000	7462.01	4
600567.SS	20140423	376693.96	2.32	定向增发机构配售股份	42.1	39.78	158601.7	149851.71	7
600488.SS	20140423	96085.5	8.11	定向增发机构配售股份	92.86	84.75	89228.5	81433.5	7
600592.SS	20140423	39955.36	17.41	定向增发机构配售股份	92.49	75.08	36955.36	30000	6
002443.SZ	20140423	43377.96	16.54	定向增发机构配售股份	58.27	41.73	25275.52	18099.52	5
600828.SS	20140424	57043.97	0.15	股权分置限售股份	99.89	99.74	56981.73	56898.33	9
300339.SZ	20140424	15348	1.86	首发原股东限售股份	53.27	51.41	8176.05	7891.05	4
300341.SZ	20140424	9200	1.05	首发原股东限售股份	39.6	38.55	3643.33	3546.97	3
002225.SZ	20140425	79278.7	29.84	首发原股东限售股份	69.76	39.92	55303.58	31644.23	8
002183.SZ	20140425	98612.62	15.41	定向增发机构配售股份	100	84.59	98612.62	83412.62	5
300068.SZ	20140425	60246.19	3.41	首发原股东限售股份	67.35	63.94	40573.34	38520.59	10
300169.SZ	20140425	28050	10.65	首发原股东限售股份	61.45	50.79	17235.5	14247.38	5
000413.SZ	20140425	90300	43.19	定向增发机构配售股份	74.51	31.32	67278.79	28281.89	6
300313.SZ	20140425	9091	6.84	追加承诺限售股份上市流通	45.62	38.78	4147.11	3525.42	4
601258.SS	20140428	262150	41.23	首发原股东限售股份	68.44	27.21	179421.97	71344	4
600978.SS	20140428	148287	0.53	股权激励限售股份	100	99.47	148287	147504	12
300210.SZ	20140428	13473	18.62	首发原股东限售股份	44.94	26.32	6054.7	3545.66	4
002524.SZ	20140428	50333.28	18.12	定向增发机构配售股份	99.13	81.01	49894.03	40774.03	11
300209.SZ	20140428	16000	75	首发原股东限售股份	100	25	16000	4000	3
002577.SZ	20140428	28288	75	首发原股东限售股份	100	25	28288	7072	3
000767.SZ	20140428	225373.78	11.09	定向增发机构配售股份	69.83	58.73	157371.62	132371.62	5
002578.SZ	20140428	17180	74.97	首发原股东限售股份	100	25.03	17180	4300	3
