代码	公告日期	违规类型	处罚对象	关系	处分类型	处理人	处罚金额(万元)	相关法规	是否发债	证监会行业(2012)	东财行业
000670.SZ	2004-09-20	未及时披露公司重大事项,信息披露虚假或严重误导性陈述	胡晓军	公司高管	公开处罚	中国证券监督管理委员会	20	《中华人民共和国证券法》	否	制造业	半导体材料
000670.SZ	2004-09-20	未及时披露公司重大事项,信息披露虚假或严重误导性陈述	刘道兴	公司高管	公开处罚	中国证券监督管理委员会	10	《中华人民共和国证券法》	否	制造业	半导体材料
000670.SZ	2004-09-20	未及时披露公司重大事项,信息披露虚假或严重误导性陈述	朱良华	公司高管	公开处罚	中国证券监督管理委员会	3	《中华人民共和国证券法》	否	制造业	半导体材料
600234.SH	2004-09-15	涉嫌违反证券法律法规	太原天龙集团股份有限公司	公司本身	立案调查	中国证监会山西监管局			否	制造业	综合
600234.SH	2004-09-15	未按时披露定期报告,未及时披露公司重大事项			公开谴责	上海证券交易所	0	《上海证券交易所股票上市规则》,《董事(监事)声明与承诺》	否	制造业	综合
600378.SH	2004-09-09	涉嫌违反证券法律法规	四川天一科技股份有限公司	公司本身	立案调查	中国证券监督管理委员会成都稽查局			否	制造业	其他化学制品
000156.SZ	2004-09-07	涉嫌违反证券法律法规	湖南嘉瑞新材料集团股份有限公司	公司本身	立案调查	中国证券监督管理委员会			否	文化、体育和娱乐业	广播与电视
000672.SZ	2004-09-02	信息披露虚假或严重误导性陈述,未及时披露公司重大事项	敬伟	公司高管	公开处罚	中国证券监督管理委员会	10	《中华人民共和国证券法》	否	制造业	水泥
000672.SZ	2004-09-02	信息披露虚假或严重误导性陈述,未及时披露公司重大事项	李再生	公司高管	公开处罚	中国证券监督管理委员会	0	《中华人民共和国证券法》	否	制造业	水泥
000672.SZ	2004-09-02	信息披露虚假或严重误导性陈述,未及时披露公司重大事项	刘广明	公司高管	公开处罚	中国证券监督管理委员会	0	《中华人民共和国证券法》	否	制造业	水泥
000672.SZ	2004-09-02	信息披露虚假或严重误导性陈述,未及时披露公司重大事项	张兴龙	公司高管	公开处罚	中国证券监督管理委员会	0	《中华人民共和国证券法》	否	制造业	水泥
000672.SZ	2004-09-02	信息披露虚假或严重误导性陈述,未及时披露公司重大事项	贾巍	公司高管	公开处罚	中国证券监督管理委员会	0	《中华人民共和国证券法》	否	制造业	水泥
000672.SZ	2004-09-02	信息披露虚假或严重误导性陈述,未及时披露公司重大事项	刘承运	公司高管	公开处罚	中国证券监督管理委员会	0	《中华人民共和国证券法》	否	制造业	水泥
000672.SZ	2004-09-02	信息披露虚假或严重误导性陈述,未及时披露公司重大事项	王燕威	公司高管	公开处罚	中国证券监督管理委员会	0	《中华人民共和国证券法》	否	制造业	水泥
000672.SZ	2004-09-02	信息披露虚假或严重误导性陈述,未及时披露公司重大事项	胡智勇	公司高管	公开处罚	中国证券监督管理委员会	5	《中华人民共和国证券法》	否	制造业	水泥
000672.SZ	2004-09-02	信息披露虚假或严重误导性陈述,未及时披露公司重大事项	李源和	公司高管	公开处罚	中国证券监督管理委员会	0	《中华人民共和国证券法》	否	制造业	水泥
000672.SZ	2004-09-02	信息披露虚假或严重误导性陈述,未及时披露公司重大事项	李锋	公司高管	公开处罚	中国证券监督管理委员会	0	《中华人民共和国证券法》	否	制造业	水泥
000672.SZ	2004-09-02	信息披露虚假或严重误导性陈述,未及时披露公司重大事项	俞丽华	公司高管	公开处罚	中国证券监督管理委员会	0	《中华人民共和国证券法》	否	制造业	水泥
000672.SZ	2004-09-02	信息披露虚假或严重误导性陈述,未及时披露公司重大事项	范文森	公司高管	公开处罚	中国证券监督管理委员会	0	《中华人民共和国证券法》	否	制造业	水泥
000672.SZ	2004-09-02	信息披露虚假或严重误导性陈述,未及时披露公司重大事项	何新民	公司高管	公开处罚	中国证券监督管理委员会	0	《中华人民共和国证券法》	否	制造业	水泥
000672.SZ	2004-09-02	信息披露虚假或严重误导性陈述,未及时披露公司重大事项	李渊浩	公司高管	公开处罚	中国证券监督管理委员会	0	《中华人民共和国证券法》	否	制造业	水泥
000672.SZ	2004-09-02	信息披露虚假或严重误导性陈述,未及时披露公司重大事项	刘顺成	公司高管	公开处罚	中国证券监督管理委员会	3	《中华人民共和国证券法》	否	制造业	水泥
000672.SZ	2004-09-02	信息披露虚假或严重误导性陈述,未及时披露公司重大事项	李舒山	公司高管	公开处罚	中国证券监督管理委员会	0	《中华人民共和国证券法》	否	制造业	水泥
000672.SZ	2004-09-02	信息披露虚假或严重误导性陈述,未及时披露公司重大事项	王平	公司高管	公开处罚	中国证券监督管理委员会	0	《中华人民共和国证券法》	否	制造业	水泥
000799.SZ	2004-08-19	未及时披露公司重大事项,未依法履行其他职责			公开处罚	中国证券监督管理委员会	40	《中华人民共和国证券法》	否	制造业	白酒
000928.SZ	2004-08-18	未及时披露公司重大事项			公开谴责	深圳证券交易所	0	《深圳证券交易所股票上市规则》,《董事声明及承诺书》	否	建筑业	专业工程
600069.SH	2004-08-05	信息披露虚假或严重误导性陈述	周文普	公司高管	公开处罚	中国证券监督管理委员会	0	《股票发行与交易管理暂行条例》,《中华人民共和国证券法》	是	制造业	造纸
600069.SH	2004-08-05	信息披露虚假或严重误导性陈述	张帆	公司高管	公开处罚	中国证券监督管理委员会	0	《股票发行与交易管理暂行条例》,《中华人民共和国证券法》	是	制造业	造纸
