代码	公告日期	违规类型	处罚对象	关系	处分类型	处理人	处罚金额(万元)	相关法规	是否发债	证监会行业(2012)	东财行业
v0	v1	v2	v3	v4	v5	v6	v7	v8	v9	v10	v11
sid	date	d	d	d	d	d	c	d	d	d	d
000981.SZ	20081211	未及时披露公司重大事项,未依法履行其他职责	李亦农	公司高管	公开处罚	中国证券监督管理委员会	20	《中华人民共和国证券法》	是	房地产业	房地产
000981.SZ	20081211	未及时披露公司重大事项,未依法履行其他职责	李福祥	公司高管	公开处罚	中国证券监督管理委员会	3	《中华人民共和国证券法》	是	房地产业	房地产
000981.SZ	20081211	未及时披露公司重大事项,未依法履行其他职责	吕勇	公司高管	公开处罚	中国证券监督管理委员会	5	《中华人民共和国证券法》	是	房地产业	房地产
000981.SZ	20081211	未及时披露公司重大事项,未依法履行其他职责	彭向阳	公司高管	公开处罚	中国证券监督管理委员会	20	《中华人民共和国证券法》	是	房地产业	房地产
000981.SZ	20081211	未及时披露公司重大事项,未依法履行其他职责	裴福元	公司高管	公开处罚	中国证券监督管理委员会	10	《中华人民共和国证券法》	是	房地产业	房地产
000981.SZ	20081211	未及时披露公司重大事项,未依法履行其他职责	刘琴	公司高管	公开处罚	中国证券监督管理委员会	3	《中华人民共和国证券法》	是	房地产业	房地产
000981.SZ	20081211	未及时披露公司重大事项,未依法履行其他职责	李济朝	公司高管	公开处罚	中国证券监督管理委员会	20	《中华人民共和国证券法》	是	房地产业	房地产
000981.SZ	20081211	未及时披露公司重大事项,未依法履行其他职责	郑维嘉	公司高管	公开处罚	中国证券监督管理委员会	20	《中华人民共和国证券法》	是	房地产业	房地产
000981.SZ	20081211	未及时披露公司重大事项,未依法履行其他职责	李伟	公司高管	公开处罚	中国证券监督管理委员会	30	《中华人民共和国证券法》	是	房地产业	房地产
000981.SZ	20081211	未及时披露公司重大事项,未依法履行其他职责	王兴志	公司高管	公开处罚	中国证券监督管理委员会	30	《中华人民共和国证券法》	是	房地产业	房地产
000981.SZ	20081211	未及时披露公司重大事项,未依法履行其他职责	林建华	公司高管	公开处罚	中国证券监督管理委员会	3	《中华人民共和国证券法》	是	房地产业	房地产
000981.SZ	20081222	未及时披露公司重大事项			公开处罚	中国证券监督管理委员会	30	《中华人民共和国证券法》,《中华人民共和国公司法》	是	房地产业	房地产
600157.SS	20081226	涉嫌违反证券法律法规	永泰能源股份有限公司	公司本身	立案调查	中国证券监督管理委员会稽查总队		《中华人民共和国证券法》	是	采矿业	煤炭开采洗选
002002.SZ	20081230	涉嫌违反证券法律法规	江苏金材科技股份有限公司	公司本身	立案调查	江苏监管局			否	制造业	塑料制品
600515.SS	20090114	涉嫌违反证券法律法规	海南海岛建设股份有限公司	公司本身	立案调查	中国证券监督管理委员会			是	批发和零售业	百货
000982.SZ	20090115	未及时披露公司重大事项	张航	公司高管	公开处罚	中国证券监督管理委员会	0	《中华人民共和国证券法》	否	制造业	其他纺织
000982.SZ	20090115	未及时披露公司重大事项	侯羽乾	公司高管	公开处罚	中国证券监督管理委员会	3	《中华人民共和国证券法》	否	制造业	其他纺织
000982.SZ	20090115	未及时披露公司重大事项	霍继红	公司高管	公开处罚	中国证券监督管理委员会	0	《中华人民共和国证券法》	否	制造业	其他纺织
000982.SZ	20090115	未及时披露公司重大事项	房进贤	公司高管	公开处罚	中国证券监督管理委员会	0	《中华人民共和国证券法》	否	制造业	其他纺织
600093.SS	20090120	未及时披露公司重大事项,未依法履行其他职责			公开谴责	上海证券交易所	0	《上海证券交易所股票上市规则》,《关于上市公司为他人提供担保有关问题的通知》	是	制造业	汽车零部件
600671.SS	20090201	未及时披露公司重大事项	郑智强	公司高管	公开处罚	中国证券监督管理委员会	3	《中华人民共和国证券法》	否	制造业	中药生产
600671.SS	20090201	未及时披露公司重大事项	章鹏飞	公司高管	公开处罚	中国证券监督管理委员会	30	《中华人民共和国证券法》	否	制造业	中药生产
000982.SZ	20090211	未及时披露公司重大事项			公开处罚	中国证券监督管理委员会	0	《中华人民共和国证券法》	否	制造业	其他纺织
600185.SS	20090216	未及时披露公司重大事件	格力地产股份有限公司	公司本身	公开谴责	上海证券交易所		《上海证券交易所股票上市规则》,《董事(监事)声明与承诺》	是	房地产业	房地产
600556.SS	20090217	未及时披露公司重大事项			公开谴责	上海证券交易所	0	《上海证券交易所股票上市规则》	否	制造业	综合
002002.SZ	20090218	未依法履行其他职责			公开谴责	深圳证券交易所	0	《深圳证券交易所股票上市规则》	否	制造业	塑料制品
600185.SS	20090221	涉嫌违反证券法律法规	格力地产股份有限公司	公司本身	立案调查	中国证券监督管理委员会			是	房地产业	房地产
600671.SS	20090221	未及时披露公司重大事项			公开处罚	中国证券监督管理委员会	40	《中华人民共和国证券法》	否	制造业	中药生产
000792.SZ	20090227	未依法履行其他职责			公开处罚	中华人民共和国国家发展和改革委员会	500	《关于国家发展改革委关于加强氯化钾及复混肥价格监管的通知》	是	制造业	钾肥
600385.SS	20090304	涉嫌违反证券法律法规	山东金泰集团股份有限公司	公司本身	立案调查				否	制造业	黄金
000691.SZ	20090319	未及时披露公司重大事项,未依法履行其他职责			公开谴责	深圳证券交易所	0	《深圳证券交易所股票上市规则》	否	房地产业	房地产
000799.SZ	20090324	信息披露虚假或严重误导性陈述,未依法履行其他职责	樊耀传	公司高管	公开处罚	中国证券监督管理委员会	3	《中华人民共和国证券法》	否	制造业	白酒
000799.SZ	20090324	信息披露虚假或严重误导性陈述,未依法履行其他职责	柳思维	公司高管	公开处罚	中国证券监督管理委员会	3	《中华人民共和国证券法》	否	制造业	白酒
000799.SZ	20090324	信息披露虚假或严重误导性陈述,未依法履行其他职责	付光明	公司高管	公开处罚	中国证券监督管理委员会	3	《中华人民共和国证券法》	否	制造业	白酒
000799.SZ	20090324	信息披露虚假或严重误导性陈述,未依法履行其他职责	王锡谷	公司高管	公开处罚	中国证券监督管理委员会	3	《中华人民共和国证券法》	否	制造业	白酒
000799.SZ	20090324	信息披露虚假或严重误导性陈述,未依法履行其他职责	马军	公司高管	公开处罚	中国证券监督管理委员会	3	《中华人民共和国证券法》	否	制造业	白酒
000799.SZ	20090324	信息披露虚假或严重误导性陈述,未依法履行其他职责	杨建军	公司高管	公开处罚	中国证券监督管理委员会	3	《中华人民共和国证券法》	否	制造业	白酒
000799.SZ	20090324	信息披露虚假或严重误导性陈述,未依法履行其他职责	刘虹	公司高管	公开处罚	中国证券监督管理委员会	20	《中华人民共和国证券法》	否	制造业	白酒
000799.SZ	20090324	信息披露虚假或严重误导性陈述,未依法履行其他职责	张亚斌	公司高管	公开处罚	中国证券监督管理委员会	3	《中华人民共和国证券法》	否	制造业	白酒
000799.SZ	20090324	信息披露虚假或严重误导性陈述,未依法履行其他职责	杨波	公司高管	公开处罚	中国证券监督管理委员会	3	《中华人民共和国证券法》	否	制造业	白酒
600764.SS	20090330	未及时披露公司重大事项,未依法履行其他职责,信息披露虚假或严重误导性陈述	钱锋	公司高管	公开处罚	中国证券监督管理委员会	3	《中华人民共和国证券法》	否	信息传输、软件和信息技术服务业	集成电路
600764.SS	20090330	未及时披露公司重大事项,未依法履行其他职责,信息披露虚假或严重误导性陈述	苏振明	公司高管	公开处罚	中国证券监督管理委员会	0	《中华人民共和国证券法》	否	信息传输、软件和信息技术服务业	集成电路
600764.SS	20090330	未及时披露公司重大事项,未依法履行其他职责,信息披露虚假或严重误导性陈述	郁洪良	公司高管	公开处罚	中国证券监督管理委员会	3	《中华人民共和国证券法》	否	信息传输、软件和信息技术服务业	集成电路
600764.SS	20090330	未及时披露公司重大事项,未依法履行其他职责,信息披露虚假或严重误导性陈述	贾利民	公司高管	公开处罚	中国证券监督管理委员会	3	《中华人民共和国证券法》	否	信息传输、软件和信息技术服务业	集成电路
600764.SS	20090330	未及时披露公司重大事项,未依法履行其他职责,信息披露虚假或严重误导性陈述	倪剑云	公司高管	公开处罚	中国证券监督管理委员会	8	《中华人民共和国证券法》	否	信息传输、软件和信息技术服务业	集成电路
600764.SS	20090330	未及时披露公司重大事项,未依法履行其他职责,信息披露虚假或严重误导性陈述	徐华	公司高管	公开处罚	中国证券监督管理委员会	0	《中华人民共和国证券法》	否	信息传输、软件和信息技术服务业	集成电路
600764.SS	20090330	未及时披露公司重大事项,未依法履行其他职责,信息披露虚假或严重误导性陈述	马雅琳	公司高管	公开处罚	中国证券监督管理委员会	3	《中华人民共和国证券法》	否	信息传输、软件和信息技术服务业	集成电路
600764.SS	20090330	未及时披露公司重大事项,未依法履行其他职责,信息披露虚假或严重误导性陈述	郭伟	公司高管	公开处罚	中国证券监督管理委员会	5	《中华人民共和国证券法》	否	信息传输、软件和信息技术服务业	集成电路
600764.SS	20090330	未及时披露公司重大事项,未依法履行其他职责,信息披露虚假或严重误导性陈述	单昶	公司高管	公开处罚	中国证券监督管理委员会	8	《中华人民共和国证券法》	否	信息传输、软件和信息技术服务业	集成电路
600764.SS	20090330	未及时披露公司重大事项,未依法履行其他职责,信息披露虚假或严重误导性陈述	范卿午	公司高管	公开处罚	中国证券监督管理委员会	0	《中华人民共和国证券法》	否	信息传输、软件和信息技术服务业	集成电路
