,Open,High,low,Close,AvgPrice,Turn,Volume,Amount,Tnum
20151117,36.78,37.78,36.75,36.98,37.1982,3.013,2527141.0,94005106.0,2997.0
20151118,36.9,40.34,36.69,38.64,38.9591,5.7549,4826944.0,188053605.0,5812.0
20151119,38.61,40.29,38.14,39.84,39.7948,4.2599,3573039.0,142188361.0,4502.0
20151120,39.78,42.68,39.3,41.8,41.5958,4.6371,3889406.0,161783056.0,5106.0
20151123,41.5,41.68,39.37,39.5,40.4651,4.7585,3991212.0,161504855.0,4791.0
20151124,39.54,39.78,38.41,39.35,38.8434,3.3869,2840818.0,110347077.0,3658.0
20151125,39.33,41.2,39.05,40.4,40.2168,3.2059,2688989.0,108142512.0,3441.0
20151126,40.42,42.1,39.9,39.98,40.7765,3.2699,2742633.0,111835019.0,3432.0
20151127,40.4,40.49,36.5,37.19,38.4754,3.2126,2694567.0,103674580.0,4087.0
20151130,37.22,40.1,35.65,39.84,38.2359,5.0578,4242293.0,162207873.0,4441.0
20151201,39.8,41.66,39.33,40.51,40.8927,4.1022,3440741.0,140701229.0,4209.0
20151202,40.1,40.97,36.71,38.82,38.5742,4.4161,3703994.0,142878681.0,4112.0
20151203,38.9,39.79,38.0,39.4,38.9132,2.5844,2167644.0,84350048.0,3179.0
20151204,39.13,40.62,39.01,40.12,39.9291,4.2062,3528008.0,140870182.0,4222.0
20151207,40.0,44.13,39.31,42.52,42.3778,6.7534,5664431.0,240046059.0,6083.0
20151208,41.8,43.97,40.6,42.97,42.3314,4.2328,3550288.0,150288829.0,4971.0
20151209,42.9,45.78,42.24,44.85,44.27,5.6077,4703492.0,208223687.0,5599.0
20151210,44.85,49.33,44.53,48.1,47.49,7.2893,6113912.0,290349536.0,7696.0
20151211,47.5,47.73,45.5,45.58,46.3335,3.9011,3272078.0,151606667.0,5365.0
20151214,45.03,45.03,43.03,44.32,44.0512,3.0036,2519318.0,110978996.0,3740.0
20151215,44.2,47.99,44.0,47.61,46.2729,3.9964,3352039.0,155108423.0,4648.0
20151216,47.63,49.44,46.6,47.02,47.898,2.9325,2459669.0,117813198.0,4685.0
20151217,46.03,48.23,45.97,46.88,46.938,4.454,3735847.0,175353333.0,6036.0
20151218,46.75,47.19,44.85,45.99,45.906,3.7492,3144689.0,144360226.0,5249.0
20151221,46.0,46.5,45.22,46.01,45.9816,2.5989,2179806.0,100230876.0,3685.0
20151222,45.71,49.88,45.01,49.88,47.4583,4.8716,4086071.0,193917880.0,6303.0
20151223,49.4,52.83,48.55,50.6,51.0114,6.375,5347089.0,272762480.0,8253.0
20151224,50.19,50.57,48.2,49.8,49.1957,2.9675,2489041.0,122450089.0,4117.0
20151225,49.8,51.6,48.6,49.44,49.9765,2.2579,1893786.0,94644811.0,3652.0
20151228,49.5,49.96,46.97,47.33,48.2892,2.6892,2255561.0,108919177.0,4173.0
20151229,47.0,47.49,44.96,46.88,46.2307,2.337,1960147.0,90618873.0,3336.0
20151230,46.92,48.77,46.92,47.7,47.8797,1.8613,1561149.0,74747310.0,2913.0
20151231,47.69,48.3,45.5,45.9,46.4087,2.696,2261252.0,104941749.0,3754.0
20160104,45.9,46.6,41.31,41.31,42.7764,2.7223,2283380.0,97674865.0,3190.0
20160105,37.5,40.89,37.18,38.68,38.7611,4.6303,3883664.0,150534891.0,4725.0
20160106,38.6,40.0,38.0,39.18,39.0494,2.5213,2114757.0,82579991.0,3426.0
20160107,38.5,38.5,35.26,35.26,36.1495,0.5447,456900.0,16516715.0,724.0
20160108,35.13,36.5,31.73,35.48,34.833,3.6691,3077465.0,107197211.0,4757.0
