,open,high,low,close
2012-12-17,14765,14815,14765,14785
2012-12-18,14810,14810,14780,14805
2012-12-19,14725,14795,14725,14775
2012-12-20,14730,14805,14730,14785
2012-12-21,14730,14750,14730,14745
2012-12-24,14765,14775,14715,14725
2012-12-25,14675,14735,14675,14730
2012-12-26,14720,14730,14685,14695
2012-12-27,14740,14755,14705,14705
2012-12-28,14735,14735,14700,14715
2012-12-31,14560,14735,14560,14730
2013-01-04,14780,14780,14690,14715
2013-01-07,14700,14700,14630,14635
2013-01-08,14690,14690,14585,14585
2013-01-09,14565,14595,14565,14590
2013-01-10,14585,14665,14585,14665
2013-01-11,14690,14690,14605,14655
2013-01-14,14565,14590,14490,14575
2013-01-15,14495,14525,14425,14435
2013-01-16,14495,14505,14460,14485
2013-01-17,14445,14445,14395,14415
2013-01-18,14510,14510,14445,14505
2013-01-21,14585,14585,14455,14455
2013-01-22,14515,14615,14505,14520
2013-01-23,14565,14565,14465,14565
2013-01-24,14590,14590,14505,14535
2013-01-25,14565,14820,14540,14655
2013-01-28,14610,14620,14560,14560
2013-01-29,14560,14605,14545,14595
2013-01-30,14610,14705,14610,14665
2013-01-31,14735,14765,14695,14745
2013-02-01,14725,14725,14610,14665
2013-02-04,14755,14775,14690,14720
2013-02-05,14655,14675,14625,14635
2013-02-06,14685,14685,14580,14585
2013-02-07,14585,14585,14445,14530
2013-02-08,14535,14575,14485,14575
2013-02-18,14460,14560,14460,14515
2013-02-19,14505,14540,14460,14475
2013-02-20,14485,14485,14445,14460
2013-02-21,14335,14335,14205,14225
2013-02-22,14275,14300,14215,14300
2013-02-25,14130,14360,13885,14360
2013-02-26,14235,14235,14125,14155
2013-02-27,14155,14280,14025,14215
2013-02-28,14235,14235,14175,14175
2013-03-01,14075,14095,13990,14045
2013-03-04,14025,14025,13925,13945
2013-03-05,13965,13965,13935,13950
2013-03-06,13935,13935,13880,13930
2013-03-07,13805,13870,13765,13830
2013-03-08,13875,13885,13840,13885
