,open,high,low,close
2012-03-21,20415,20510,20400,20470
2012-03-22,20455,20500,20425,20445
2012-03-23,20495,20525,20455,20475
2012-03-26,20485,20500,20375,20410
2012-03-27,20460,20475,20350,20390
2012-03-28,20415,20470,20325,20330
2012-03-29,20350,20500,20295,20380
2012-03-30,20365,20445,20345,20355
2012-04-05,20175,20300,20155,20270
2012-04-06,20250,20355,20210,20305
2012-04-09,20285,20425,20265,20355
2012-04-10,20375,20580,20370,20545
2012-04-11,20465,20555,20435,20465
2012-04-12,20505,20545,20475,20515
2012-04-13,20570,20605,20490,20495
2012-04-16,20415,20520,20405,20495
2012-04-17,20420,20455,20225,20295
2012-04-18,20345,20370,20275,20340
2012-04-19,20370,20565,20365,20560
2012-04-20,20540,20570,20480,20505
2012-04-23,20515,20530,20350,20350
2012-04-24,20415,20420,20230,20295
2012-04-25,20275,20335,20250,20285
2012-04-26,20285,20315,20255,20280
2012-04-27,20315,20315,20185,20215
2012-05-02,20125,20185,20035,20130
2012-05-03,20120,20190,20070,20095
2012-05-04,20080,20170,20070,20160
2012-05-07,20095,20110,19945,19955
2012-05-08,19895,19965,19820,19900
2012-05-09,19855,19890,19690,19690
2012-05-10,19665,19725,19545,19605
2012-05-11,19375,19375,18800,18800
2012-05-14,18810,18810,18265,18435
2012-05-15,18485,18485,18185,18350
2012-05-16,18300,18410,18170,18170
2012-05-17,18110,18160,17800,17995
2012-05-18,17965,18210,17925,18170
2012-05-21,18275,18425,18270,18375
2012-05-22,18315,18330,18160,18180
2012-05-23,17755,17845,17500,17830
2012-05-24,17805,18020,17725,17970
2012-05-25,17990,18035,17765,17880
2012-05-28,17905,17910,17735,17790
2012-05-29,17785,17980,17740,17935
2012-05-30,17845,17905,17820,17845
2012-05-31,17730,17830,17730,17810
2012-06-01,17820,17880,17635,17680
2012-06-04,17435,17495,17000,17000
2012-06-05,17130,17235,17060,17165
2012-06-06,17085,17235,16995,17110
2012-06-07,17445,17445,17280,17355
2012-06-08,17520,17555,17235,17340
2012-06-11,17425,17550,17250,17385
2012-06-12,17310,17385,17195,17300
2012-06-13,17300,17310,17170,17235
2012-06-14,17230,17655,17220,17425
2012-06-15,17560,17760,17515,17640
2012-06-18,17685,17820,17655,17755
2012-06-19,17820,17845,17700,17730
2012-06-20,17895,17955,17770,17810
2012-06-21,17620,17620,17445,17450
2012-06-25,17360,17625,17340,17570
2012-06-26,17590,17645,17445,17500
2012-06-27,17455,17505,17420,17455
2012-06-28,17480,17560,17465,17515
2012-06-29,17535,17585,17475,17565
2012-07-02,17690,17805,17595,17800
2012-07-03,17790,17980,17735,17875
2012-07-04,17925,17935,17720,17775
2012-07-05,17780,17910,17740,17900
2012-07-06,17820,17875,17760,17835
2012-07-09,17860,17900,17700,17850
2012-07-10,17800,17970,17785,17860
2012-07-11,17860,17995,17760,17795
2012-07-12,17825,17905,17790,17855
2012-07-13,17780,17860,17765,17850
2012-07-16,17965,18045,17910,17930
