,open,high,low,close,average,turn,volume,amount,tnum
2010-1-22,17.763,17.763,16.8489,17.1693,18.3,1.457,1681953.0,30784672.0,2040.0
2010-1-25,17.2353,17.3955,16.9903,17.1222,18.31,0.835,964177.0,17651774.0,1101.0
2010-1-26,17.141,17.2447,16.3966,16.4437,17.74,1.029,1188095.0,21071940.0,1500.0
2010-1-27,16.5379,16.8395,16.3966,16.4531,17.59,0.877,1012912.0,17820007.0,1147.0
2010-1-28,16.5379,16.6416,16.1045,16.4437,17.36,0.825,952280.0,16534331.0,1075.0
2010-1-29,16.3495,16.6699,16.1987,16.5379,17.52,0.832,960991.0,16840774.0,1176.0
2010-2-1,16.5474,17.1033,16.4343,16.6133,17.77,1.971,2275193.0,40422863.0,2115.0
2010-2-2,16.6039,16.8018,16.1139,16.1893,17.48,1.109,1280431.0,22380012.0,1522.0
2010-2-3,16.1893,16.3306,15.4071,16.095,16.76,1.475,1702912.0,28537321.0,1522.0
2010-2-4,15.9725,16.2552,15.6427,16.1233,16.97,1.107,1278330.0,21698511.0,1560.0
2010-2-5,15.8406,15.8972,15.492,15.6427,16.65,0.855,986977.0,16435118.0,1560.0
2010-2-8,15.737,16.1045,15.6333,16.0102,16.92,1.025,1182834.0,20012155.0,1258.0
2010-2-9,16.095,16.095,15.7087,15.8123,16.79,0.612,706912.0,11867410.0,738.0
2010-2-10,15.8783,16.0574,15.7935,16.0197,16.91,0.526,606721.0,10257897.0,748.0
2010-2-11,16.1139,16.1233,15.9254,16.0291,17.0,0.523,603501.0,10261796.0,654.0
2010-2-12,16.0762,16.2552,16.0197,16.2458,17.18,0.533,615081.0,10568987.0,777.0
2010-2-22,16.2081,16.3212,16.1139,16.2552,17.24,0.604,697078.0,12014561.0,873.0
2010-2-23,16.2929,16.2929,15.9443,16.2741,17.12,0.558,643946.0,11022705.0,853.0
2010-2-24,16.2835,16.5379,16.1799,16.5379,17.38,1.568,1810822.0,31468184.0,1904.0
2010-2-25,16.5662,16.7735,16.5097,16.7735,17.63,1.29,1489531.0,26260727.0,1574.0
2010-2-26,16.783,16.783,16.5285,16.6793,17.7,0.823,949908.0,16817891.0,1120.0
2010-3-1,16.6793,16.9431,16.6133,16.783,17.8,1.128,1302622.0,23183901.0,2392.0
2010-3-2,16.7924,16.8395,16.4249,16.5474,17.61,1.042,1202798.0,21186296.0,1429.0
2010-3-3,16.6604,17.386,16.5003,17.2164,18.1,1.967,2271256.0,41105025.0,2773.0
2010-3-4,17.207,17.3295,16.4343,16.472,17.82,1.879,2169290.0,38650629.0,2678.0
2010-3-5,16.5851,16.5945,16.0291,16.2081,17.22,2.129,2457977.0,42328794.0,2154.0
2010-3-8,16.2081,16.3118,15.9914,16.1327,17.12,2.046,2362435.0,40448263.0,2403.0
2010-3-9,16.1799,16.2364,15.9349,16.1799,17.07,1.161,1339940.0,22878272.0,1422.0
2010-3-10,16.227,16.3495,16.0008,16.1893,17.17,0.831,959169.0,16472138.0,1192.0
2010-3-11,16.1893,16.2552,16.0197,16.1987,17.15,0.776,896089.0,15371163.0,963.0
2010-3-12,16.1893,16.1893,15.9443,15.9631,17.04,0.616,711583.0,12122947.0,878.0
2010-3-15,15.9725,16.0197,15.4354,15.492,16.5,1.259,1452985.0,23978696.0,1736.0
2010-3-16,15.492,15.5673,15.2564,15.2846,16.3,1.779,2054347.0,33491936.0,1682.0
2010-3-17,15.36,15.6993,15.36,15.6804,16.5,1.254,1447615.0,23879267.0,1691.0
2010-3-18,15.7652,15.8312,15.6804,15.8312,16.71,1.196,1381215.0,23081779.0,1541.0
2010-3-19,15.9254,15.9254,15.5202,15.7558,16.65,1.115,1287064.0,21429288.0,1403.0
2010-3-22,15.8312,15.9066,15.6145,15.7464,16.66,1.11,1281668.0,21346999.0,1424.0
2010-3-23,15.7558,16.0762,15.7464,15.9066,16.9,1.3,1501177.0,25371766.0,2080.0
2010-3-24,15.9254,15.9537,15.7747,15.8689,16.84,1.002,1157352.0,19486709.0,1347.0
2010-3-25,15.8312,15.8312,15.3883,15.5108,16.46,1.469,1695624.0,27907239.0,1903.0
2010-3-26,15.5014,15.671,15.3883,15.6616,16.52,1.144,1320793.0,21813437.0,1283.0
2010-3-29,15.6898,16.0668,15.5485,15.9537,16.84,1.789,2065593.0,34791657.0,2209.0
2010-3-30,15.982,16.3777,15.737,16.227,17.18,2.883,3327928.0,57181747.0,3100.0
2010-3-31,16.227,16.2364,16.0102,16.0668,17.1,1.239,1430828.0,24466743.0,1580.0
2010-4-1,16.0668,16.2647,15.982,16.1799,17.12,1.589,1834744.0,31404163.0,1783.0
2010-4-2,16.2081,16.3966,16.0479,16.3212,17.2,1.877,2167259.0,37270294.0,2028.0
2010-4-6,16.3495,16.5662,16.3306,16.4343,17.46,1.711,1974894.0,34478260.0,2033.0
2010-4-7,16.3118,16.5191,16.1893,16.2647,17.33,1.078,1245016.0,21574623.0,1368.0
2010-4-8,16.1422,16.3777,16.1422,16.227,17.29,1.181,1363661.0,23572855.0,1327.0
2010-4-9,16.227,16.8866,16.1422,16.8018,17.54,3.291,3799259.0,66634233.0,3450.0
2010-4-12,16.6887,16.8301,16.2835,16.4437,17.53,3.387,3909726.0,68530320.0,3207.0
2010-4-13,16.3872,16.4249,15.7841,16.095,17.08,2.45,2828489.0,48323360.0,2651.0
2010-4-14,16.2176,16.2176,16.0197,16.1516,17.09,1.263,1457936.0,24914778.0,1457.0
2010-4-15,16.1893,16.2929,15.8218,15.9914,17.1,1.419,1638395.0,28012642.0,1644.0
2010-4-16,15.982,15.982,15.6239,15.8029,16.71,1.44,1662148.0,27770193.0,1704.0
2010-4-19,15.6427,15.916,15.0773,15.1339,16.52,1.34,1547073.0,25561635.0,1783.0
2010-4-20,15.1621,15.4071,14.9171,15.2469,16.05,1.444,1667453.0,26757274.0,1598.0
2010-4-21,15.2469,15.6333,15.1244,15.6239,16.34,1.625,1876596.0,30667762.0,1848.0
2010-4-22,15.6427,15.6898,15.2941,15.5862,16.43,1.616,1865610.0,30647862.0,2031.0
2010-4-23,15.6427,15.737,15.4354,15.5202,16.55,1.633,1885751.0,31201057.0,1896.0
2010-4-26,15.5673,15.605,15.3129,15.3506,16.39,0.984,1135474.0,18608938.0,1110.0
2010-4-27,15.3318,15.3318,14.559,14.7098,15.77,1.358,1567358.0,24711341.0,0.0
2010-4-28,14.7758,15.9443,14.4083,15.7652,16.3,2.588,2988110.0,48700236.0,2832.0
2010-4-29,15.7841,15.9914,15.3506,15.3695,16.67,2.155,2488014.0,41485078.0,2563.0
2010-4-30,15.0585,15.0585,13.8334,13.8334,14.95,3.269,3774232.0,56443007.0,3209.0
2010-5-4,13.2115,14.1444,13.2021,13.9371,14.67,1.913,2208149.0,32383356.0,1786.0
2010-5-5,13.6638,14.4177,13.645,14.314,15.05,1.274,1470716.0,22134437.0,1468.0
2010-5-6,14.4837,14.8323,14.3235,14.3517,15.48,2.316,2673543.0,41379077.0,2389.0
2010-5-7,14.135,15.36,14.135,15.1527,15.86,3.435,3965739.0,62909761.0,3522.0
2010-5-10,15.2375,15.9254,14.936,15.8972,16.6,6.03,6962060.0,115555419.0,5097.0
2010-5-11,16.1139,16.161,15.6239,15.8218,16.91,5.734,6620017.0,111924809.0,5150.0
2010-5-12,15.6898,15.737,14.6344,14.8794,16.18,3.671,4238612.0,68597201.0,3856.0
2010-5-13,14.7004,15.0773,13.9465,14.8606,15.53,2.679,3092855.0,48021794.0,2811.0
2010-5-14,14.7758,15.2658,14.5119,14.8606,15.89,1.456,1681222.0,26716059.0,1734.0
2010-5-17,14.8512,15.1433,13.6638,13.9183,15.42,1.182,1364598.0,21045613.0,1686.0
2010-5-18,13.7109,14.4931,13.7109,14.4083,14.96,1.084,1251627.0,18719571.0,1390.0
2010-5-19,14.3612,14.5967,13.824,14.3423,15.17,1.262,1456724.0,22100262.0,1489.0
2010-5-20,14.2763,14.4365,13.8334,13.8806,14.99,0.815,941281.0,14106195.0,991.0
2010-5-21,13.8806,13.8806,13.8806,13.8806,0.0,0.0,0.0,0.0,0.0
2010-5-24,14.0879,14.559,14.0879,14.5496,15.25,3.004,3468356.0,52890164.0,2268.0
2010-5-25,14.3612,14.87,14.1915,14.8606,15.47,3.763,4344020.0,67189324.0,3500.0
2010-5-26,14.8794,15.2846,14.7852,14.8794,15.92,4.466,5155556.0,82057088.0,4836.0
2010-5-27,14.8794,15.0019,14.3988,14.9171,15.62,2.409,2781464.0,43453308.0,2797.0
2010-5-28,14.9925,15.1244,14.7098,14.8606,15.76,1.683,1943373.0,30631561.0,2000.0
2010-5-31,14.7475,14.8606,14.1727,14.2575,15.49,1.464,1690110.0,26187580.0,1487.0
2010-6-1,14.135,14.2292,13.4565,13.6167,14.62,1.58,1824406.0,26671895.0,1726.0
2010-6-2,13.5696,13.7958,13.4094,13.7863,14.47,0.817,943323.0,13653192.0,1007.0
2010-6-3,13.8617,14.4177,13.7581,14.1821,15.0,1.89,2182458.0,32733119.0,2000.0
2010-6-4,13.9842,14.4648,13.8334,14.0219,15.07,1.287,1486009.0,22400481.0,1334.0
2010-6-7,13.7486,14.446,13.5507,14.0785,14.94,1.068,1232813.0,18414593.0,1082.0
2010-6-8,14.0408,14.2198,13.8994,14.1161,14.92,0.607,700611.0,10450068.0,718.0
2010-6-9,14.2104,14.446,13.9465,14.4365,15.04,0.866,1000303.0,15045675.0,1147.0
2010-6-10,14.4083,14.5967,14.1538,14.5685,15.34,1.1,1269608.0,19473614.0,1294.0
2010-6-11,14.6721,14.7192,14.3046,14.314,15.33,0.894,1031849.0,15817798.0,1030.0
2010-6-17,14.3329,14.559,14.1161,14.1256,15.06,0.594,686217.0,10334496.0,763.0
2010-6-18,14.1256,14.1538,13.4754,13.5507,14.63,0.947,1092848.0,15991865.0,1059.0
2010-6-21,13.5507,13.8806,13.4848,13.8429,14.57,0.511,590070.0,8594578.0,681.0
2010-6-22,13.8146,14.0125,13.7581,13.956,14.75,0.538,621369.0,9163598.0,612.0
2010-6-23,13.8146,13.9371,13.6827,13.7769,14.63,0.437,504330.0,7380110.0,487.0
2010-6-24,13.6827,13.8052,13.6638,13.6921,14.57,0.398,459818.0,6700647.0,427.0
2010-6-25,13.645,13.7392,13.4848,13.4942,14.41,0.42,484570.0,6980991.0,565.0
2010-6-28,13.4942,13.4942,13.4942,13.4942,0.0,0.0,0.0,0.0,0.0
2010-6-29,13.4565,13.4565,12.4482,12.4671,13.59,0.811,935874.0,12720640.0,1035.0
2010-6-30,12.4388,12.4388,11.9299,11.9865,12.79,0.722,833867.0,10662301.0,651.0
2010-7-1,11.9205,12.2503,11.7886,11.8451,12.66,0.445,514133.0,6510901.0,417.0
2010-7-2,11.732,12.0147,11.6849,11.9582,12.52,0.663,765406.0,9582703.0,628.0
2010-7-5,11.864,11.8734,11.5153,11.6849,12.45,0.232,268350.0,3340650.0,312.0
2010-7-6,11.4965,11.9111,11.4965,11.8545,12.52,0.41,472775.0,5919221.0,472.0
2010-7-7,11.8922,12.109,11.7886,12.0807,12.64,0.452,522074.0,6600769.0,512.0
2010-7-8,12.1467,12.1467,11.798,11.9017,12.66,0.256,296053.0,3748056.0,401.0
2010-7-9,11.9017,12.354,11.7415,12.1561,12.87,0.738,852500.0,10968215.0,784.0
2010-7-12,12.1561,12.3917,12.0619,12.3351,12.99,0.653,754203.0,9798605.0,715.0
2010-7-13,12.2126,12.2126,11.9771,12.0713,12.81,0.33,381432.0,4886119.0,460.0
2010-7-14,12.2409,12.3634,12.0901,12.2692,13.01,0.725,836579.0,10885947.0,709.0
2010-7-15,12.3728,12.3728,11.9582,12.0242,12.88,0.512,591200.0,7615902.0,556.0
2010-7-16,12.2032,12.2032,11.8263,12.0524,12.7,0.529,610210.0,7751214.0,471.0
2010-7-19,11.8922,12.3069,11.8922,12.2409,12.89,0.828,956060.0,12321238.0,743.0
2010-7-20,12.2503,12.8628,12.1372,12.8157,13.37,1.71,1973627.0,26377667.0,1514.0
2010-7-21,12.7969,13.3811,12.6744,13.2586,13.89,2.04,2354769.0,32709795.0,1913.0
2010-7-22,13.0607,13.3057,12.9759,13.1832,13.93,1.399,1615275.0,22505260.0,1776.0
2010-7-23,13.1455,13.1927,12.8157,12.9288,13.78,1.272,1468291.0,20239213.0,1240.0
2010-7-26,12.8157,13.3434,12.8157,13.2963,13.99,1.243,1435169.0,20078791.0,1304.0
2010-7-27,13.2586,13.3057,13.0136,13.0419,13.89,0.643,742754.0,10320311.0,684.0
2010-7-28,13.0136,13.8052,13.0136,13.6073,14.34,1.944,2243794.0,32184367.0,1671.0
2010-7-29,13.5696,13.9936,13.3623,13.8617,14.58,2.237,2583089.0,37663343.0,1454.0
2010-7-30,13.6827,14.3235,13.6638,14.1256,14.84,1.606,1854382.0,27512916.0,1460.0
2010-8-2,13.956,14.3235,13.9465,14.1161,15.03,1.384,1597580.0,24010235.0,1437.0
2010-8-3,14.135,14.1821,13.6733,13.6921,14.72,1.184,1366638.0,20121692.0,1166.0
2010-8-4,13.579,13.9465,13.579,13.9371,14.58,1.0,1155056.0,16839296.0,863.0
2010-8-5,13.9465,14.3235,13.7863,14.0973,15.03,1.435,1656593.0,24902887.0,1433.0
2010-8-6,14.1538,14.4648,14.0031,14.2952,15.13,1.59,1835489.0,27769381.0,1314.0
2010-8-9,14.3988,15.7275,14.38,15.4354,15.9,4.031,4654321.0,74000387.0,4105.0
2010-8-10,15.2375,15.2469,14.7946,14.8417,15.9,2.174,2509827.0,39908935.0,2098.0
2010-8-11,14.8512,14.9925,14.4083,14.625,15.55,1.156,1334094.0,20743314.0,1237.0
2010-8-12,14.5119,14.8512,14.3517,14.3706,15.48,1.086,1253386.0,19407911.0,1144.0
2010-8-13,14.5779,14.8417,14.1633,14.7569,15.32,0.842,971756.0,14885626.0,1070.0
2010-8-16,14.691,14.9831,14.6062,14.8889,15.75,1.117,1289056.0,20304388.0,1072.0
2010-8-17,14.8512,15.0585,14.7004,14.8229,15.77,1.119,1292160.0,20375444.0,962.0
2010-8-18,14.8229,14.9171,14.4931,14.5873,15.58,0.732,845513.0,13175329.0,814.0
2010-8-19,14.5779,14.7946,14.5025,14.5967,15.56,0.864,998002.0,15530061.0,0.0
2010-8-20,14.6062,14.6062,13.9465,13.9842,15.05,1.412,1630244.0,24542916.0,1449.0
2010-8-23,14.0408,14.6533,13.9842,14.6344,15.31,1.204,1390148.0,21279120.0,0.0
2010-8-24,14.691,15.2564,14.4271,15.0019,15.83,2.715,3134682.0,49627769.0,0.0
2010-8-25,14.8889,15.0019,14.7852,14.8512,15.77,1.036,1195903.0,18859669.0,928.0
2010-8-26,14.9077,15.0585,14.8323,14.9266,15.84,1.097,1266963.0,20069634.0,1000.0
2010-8-27,14.5967,14.6344,13.8806,14.314,15.1,2.982,3442701.0,51983036.0,2811.0
2010-8-30,14.201,14.4931,14.1821,14.446,15.23,1.814,2094152.0,31902848.0,1861.0
2010-8-31,14.446,14.5402,14.1727,14.38,15.19,1.484,1713423.0,26019747.0,1397.0
2010-9-1,14.4177,14.4365,13.9654,14.0973,15.02,1.533,1769378.0,26578557.0,1446.0
2010-9-2,14.2292,14.2763,13.9088,14.0313,14.91,3.09,3567249.0,53181946.0,2207.0
2010-9-3,13.956,14.0785,13.6544,13.8429,14.64,3.249,3750980.0,54922016.0,2899.0
2010-9-6,13.8994,14.1633,13.89,14.1444,14.87,3.328,3841765.0,57119362.0,2846.0
2010-9-7,14.1821,14.7381,14.0408,14.559,15.22,4.51,5206287.0,79264469.0,3896.0
2010-9-8,14.4742,14.5119,14.135,14.314,15.21,2.393,2762424.0,42026057.0,2266.0
2010-9-9,14.2858,14.4648,13.9183,13.956,15.05,1.881,2171473.0,32689220.0,2102.0
2010-9-10,13.8806,14.1256,13.7109,13.9465,14.73,1.499,1730573.0,25498166.0,0.0
2010-9-13,13.9277,14.3894,13.1927,14.1161,15.01,2.201,2541542.0,38136708.0,2083.0
2010-9-14,14.0596,14.2669,13.9936,14.0879,14.97,1.217,1405371.0,21038998.0,1274.0
2010-9-15,14.0879,14.0879,14.0879,14.0879,0.0,0.0,0.0,0.0,0.0
2010-9-16,13.8146,13.9371,13.3906,13.5319,14.45,1.411,1628588.0,23536895.0,1426.0
2010-9-17,13.4188,13.6638,13.4188,13.4848,14.37,0.521,601825.0,8649043.0,599.0
2010-9-20,13.4754,13.6167,13.2115,13.2586,14.26,0.569,656800.0,9365579.0,643.0
2010-9-21,13.2869,13.3811,12.8723,13.0796,13.84,1.13,1304107.0,18044984.0,1101.0
