股票,申万一级行业
600587.SH,42.000000
600588.SH,14.000000
600589.SH,37.000000
600590.SH,15.000000
600591.SH,9.000000
600592.SH,73.000000
600593.SH,151.000000
600594.SH,42.000000
600595.SH,67.000000
600596.SH,37.000000
600597.SH,149.000000
600598.SH,30.000000
600599.SH,125.000000
600600.SH,149.000000
600601.SH,15.000000
600602.SH,94.000000
600603.SH,59.000000
600604.SH,73.000000
600605.SH,45.000000
600606.SH,59.000000
600607.SH,42.000000
600608.SH,109.000000
600609.SH,7.000000
600610.SH,73.000000
600611.SH,9.000000
600612.SH,125.000000
600613.SH,42.000000
600614.SH,59.000000
600615.SH,59.000000
600616.SH,149.000000
600617.SH,37.000000
600618.SH,37.000000
600619.SH,53.000000
600620.SH,109.000000
600621.SH,94.000000
600622.SH,109.000000
600623.SH,37.000000
600624.SH,109.000000
600626.SH,108.000000
600627.SH,73.000000
600628.SH,45.000000
600629.SH,56.000000
600630.SH,108.000000
600631.SH,45.000000
600633.SH,37.000000
600634.SH,59.000000
600635.SH,20.000000
600636.SH,37.000000
600637.SH,53.000000
600638.SH,59.000000
600639.SH,59.000000
600640.SH,14.000000
600641.SH,59.000000
600642.SH,20.000000
600643.SH,138.000000
600644.SH,20.000000
600645.SH,42.000000
600647.SH,109.000000
600648.SH,59.000000
600649.SH,20.000000
600650.SH,9.000000
600651.SH,94.000000
600652.SH,109.000000
600653.SH,7.000000
600654.SH,94.000000
600655.SH,45.000000
600657.SH,14.000000
600658.SH,15.000000
600660.SH,7.000000
600661.SH,109.000000
600662.SH,9.000000
600663.SH,59.000000
600664.SH,42.000000
600665.SH,59.000000
600666.SH,42.000000
600667.SH,37.000000
600668.SH,56.000000
600671.SH,42.000000
600673.SH,157.000000
600674.SH,20.000000
600675.SH,59.000000
600676.SH,9.000000
600677.SH,7.000000
600678.SH,56.000000
600679.SH,59.000000
600680.SH,15.000000
600681.SH,125.000000
600682.SH,45.000000
600683.SH,45.000000
600684.SH,59.000000
600685.SH,7.000000
600686.SH,7.000000
600687.SH,14.000000
600688.SH,37.000000
600689.SH,108.000000
600690.SH,53.000000
600691.SH,109.000000
600692.SH,9.000000
600693.SH,45.000000
600694.SH,45.000000
600695.SH,30.000000
600696.SH,59.000000
600697.SH,45.000000
600698.SH,7.000000
600699.SH,37.000000
600701.SH,109.000000
600702.SH,149.000000
600704.SH,45.000000
600706.SH,42.000000
600707.SH,94.000000
600708.SH,9.000000
600710.SH,73.000000
600711.SH,15.000000
600712.SH,45.000000
600713.SH,42.000000
600714.SH,37.000000
600715.SH,7.000000
600716.SH,56.000000
600717.SH,9.000000
600718.SH,14.000000
600719.SH,20.000000
600720.SH,56.000000
600721.SH,45.000000
600722.SH,37.000000
600723.SH,45.000000
600724.SH,109.000000
600725.SH,37.000000
600726.SH,20.000000
600727.SH,37.000000
600728.SH,14.000000
600729.SH,45.000000
600730.SH,109.000000
600731.SH,37.000000
600732.SH,59.000000
600733.SH,138.000000
600735.SH,149.000000
600736.SH,59.000000
600737.SH,30.000000
600738.SH,45.000000
600739.SH,138.000000
600740.SH,133.000000
600741.SH,9.000000
600742.SH,7.000000
600743.SH,108.000000
600744.SH,20.000000
600746.SH,37.000000
600747.SH,94.000000
600748.SH,59.000000
600749.SH,151.000000
600750.SH,42.000000
600751.SH,9.000000
600753.SH,59.000000
600754.SH,151.000000
600755.SH,45.000000
600756.SH,14.000000
600757.SH,108.000000
600758.SH,20.000000
600759.SH,59.000000
600760.SH,7.000000
600761.SH,73.000000
600763.SH,42.000000
600764.SH,14.000000
600765.SH,73.000000
600766.SH,59.000000
600767.SH,59.000000
600768.SH,67.000000
600769.SH,37.000000
600770.SH,14.000000
600771.SH,42.000000
600773.SH,42.000000
600774.SH,45.000000
600775.SH,15.000000
600776.SH,15.000000
600777.SH,109.000000
600778.SH,45.000000
600779.SH,149.000000
600780.SH,20.000000
600781.SH,42.000000
600782.SH,157.000000
600783.SH,109.000000
600784.SH,109.000000
600785.SH,45.000000
600786.SH,73.000000
600787.SH,9.000000
600789.SH,42.000000
600790.SH,45.000000
600791.SH,59.000000
600792.SH,37.000000
600793.SH,125.000000
600794.SH,9.000000
600795.SH,20.000000
600796.SH,42.000000
600797.SH,14.000000
600798.SH,9.000000
600800.SH,94.000000
600801.SH,56.000000
600802.SH,56.000000
600803.SH,42.000000
600804.SH,14.000000
600805.SH,109.000000
600806.SH,73.000000
600807.SH,59.000000
600808.SH,157.000000
600809.SH,149.000000
600810.SH,37.000000
600811.SH,109.000000
600812.SH,42.000000
600814.SH,45.000000
600815.SH,73.000000
600816.SH,138.000000
600817.SH,94.000000
600818.SH,7.000000
600819.SH,56.000000
600820.SH,56.000000
600821.SH,45.000000
600822.SH,45.000000
600823.SH,59.000000
600824.SH,45.000000
600825.SH,14.000000
600826.SH,45.000000
600827.SH,45.000000
600828.SH,45.000000
600829.SH,42.000000
600830.SH,45.000000
600831.SH,14.000000
600832.SH,14.000000
600833.SH,42.000000
600834.SH,9.000000
600835.SH,73.000000
600836.SH,125.000000
600837.SH,138.000000
600838.SH,45.000000
600839.SH,53.000000
600840.SH,59.000000
600841.SH,73.000000
600842.SH,42.000000
600843.SH,73.000000
